year,county,office,district,candidate,party,votes
1996,ADAIR,PRESIDENT VICE PRESIDENT,,BROWNE JORGENSEN,LIBERTARIAN,1.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,1802.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,DOLE KEMP,REPUBLICAN,1655.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,HAGELIN TOMPKINS,NATURAL LAW,2.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,HARRIS GARZA,SOCIALIST WORKERS,0.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,NADER GOEKE,GREEN,5.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,PEROT CAMPBELL,REFORM,458.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,PHILLIPS KNIGHT JR,TAXPAYER,9.000000
1996,ADAIR,PRESIDENT VICE PRESIDENT,,SCATTERING,,3.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,BROWNE JORGENSEN,LIBERTARIAN,8.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,1070.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,DOLE KEMP,REPUBLICAN,920.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,HAGELIN TOMPKINS,NATURAL LAW,2.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,HARRIS GARZA,SOCIALIST WORKERS,0.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,NADER GOEKE,GREEN,4.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,PEROT CAMPBELL,REFORM,320.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,PHILLIPS KNIGHT JR,TAXPAYER,2.000000
1996,ADAMS,PRESIDENT VICE PRESIDENT,,SCATTERING,,0.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,BROWNE JORGENSEN,LIBERTARIAN,7.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,2551.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,DOLE KEMP,REPUBLICAN,2457.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,HAGELIN TOMPKINS,NATURAL LAW,10.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,HARRIS GARZA,SOCIALIST WORKERS,1.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,NADER GOEKE,GREEN,28.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,PEROT CAMPBELL,REFORM,680.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,PHILLIPS KNIGHT JR,TAXPAYER,47.000000
1996,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,SCATTERING,,0.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,BROWNE JORGENSEN,LIBERTARIAN,10.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,2747.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,DOLE KEMP,REPUBLICAN,2233.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,HAGELIN TOMPKINS,NATURAL LAW,6.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,HARRIS GARZA,SOCIALIST WORKERS,3.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,NADER GOEKE,GREEN,12.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,PEROT CAMPBELL,REFORM,554.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,PHILLIPS KNIGHT JR,TAXPAYER,26.000000
1996,APPANOOSE,PRESIDENT VICE PRESIDENT,,SCATTERING,,1.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,BROWNE JORGENSEN,LIBERTARIAN,4.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,1827.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,DOLE KEMP,REPUBLICAN,1314.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,HAGELIN TOMPKINS,NATURAL LAW,6.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,HARRIS GARZA,SOCIALIST WORKERS,2.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,NADER GOEKE,GREEN,8.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,PEROT CAMPBELL,REFORM,314.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,PHILLIPS KNIGHT JR,TAXPAYER,13.000000
1996,AUDUBON,PRESIDENT VICE PRESIDENT,,SCATTERING,,0.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,BROWNE JORGENSEN,LIBERTARIAN,8.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,5546.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,DOLE KEMP,REPUBLICAN,3835.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,HAGELIN TOMPKINS,NATURAL LAW,11.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,HARRIS GARZA,SOCIALIST WORKERS,3.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,NADER GOEKE,GREEN,13.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,PEROT CAMPBELL,REFORM,846.000000
1996,BENTON,PRESIDENT VICE PRESIDENT,,PHILLIPS KNIGHT JR,TAXPAYER,10.000000
