year,county,office,district,candidate,party,votes
1980,ADAIR,PRESIDENT VICE PRESIDENT,,ANDERSON LUCEY,NOMINATED BY PETITION,356.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,BUBAR DODGE,STATESMAN,0.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,CARTER MONDALE,DEMOCRATIC,1454.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,CLARK KOCH,LIBERTARIAN,48.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,COMMONER HARRIS,CITIZENS,8.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,DE BERRY ZIMMERMAN,SOCIALIST WORKERS,0.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,GREAVES VARNUM,AMERICAN,1.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,HALL DAVIS,COMMUNIST,0.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,MCREYNOLDS DRUFENBROCK,SOCIALIST,1.000000
1980,ADAIR,PRESIDENT VICE PRESIDENT,,REAGAN BUSH,REPUBLICAN,2821.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,ANDERSON LUCEY,NOMINATED BY PETITION,214.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,BUBAR DODGE,STATESMAN,0.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,CARTER MONDALE,DEMOCRATIC,940.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,CLARK KOCH,LIBERTARIAN,45.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,COMMONER HARRIS,CITIZENS,2.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,DE BERRY ZIMMERMAN,SOCIALIST WORKERS,0.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,GREAVES VARNUM,AMERICAN,0.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,HALL DAVIS,COMMUNIST,1.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,MCREYNOLDS DRUFENBROCK,SOCIALIST,0.000000
1980,ADAMS,PRESIDENT VICE PRESIDENT,,REAGAN BUSH,REPUBLICAN,1779.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,ANDERSON LUCEY,NOMINATED BY PETITION,343.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,BUBAR DODGE,STATESMAN,1.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,CARTER MONDALE,DEMOCRATIC,2170.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,CLARK KOCH,LIBERTARIAN,54.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,COMMONER HARRIS,CITIZENS,11.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,DE BERRY ZIMMERMAN,SOCIALIST WORKERS,0.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,GREAVES VARNUM,AMERICAN,0.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,HALL DAVIS,COMMUNIST,0.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,MCREYNOLDS DRUFENBROCK,SOCIALIST,1.000000
1980,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,REAGAN BUSH,REPUBLICAN,4000.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,ANDERSON LUCEY,NOMINATED BY PETITION,353.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,BUBAR DODGE,STATESMAN,2.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,CARTER MONDALE,DEMOCRATIC,2769.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,CLARK KOCH,LIBERTARIAN,50.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,COMMONER HARRIS,CITIZENS,5.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,DE BERRY ZIMMERMAN,SOCIALIST WORKERS,1.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,GREAVES VARNUM,AMERICAN,1.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,HALL DAVIS,COMMUNIST,2.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,MCREYNOLDS DRUFENBROCK,SOCIALIST,1.000000
1980,APPANOOSE,PRESIDENT VICE PRESIDENT,,REAGAN BUSH,REPUBLICAN,3544.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,ANDERSON LUCEY,NOMINATED BY PETITION,251.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,BUBAR DODGE,STATESMAN,0.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,CARTER MONDALE,DEMOCRATIC,1546.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,CLARK KOCH,LIBERTARIAN,25.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,COMMONER HARRIS,CITIZENS,4.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,DE BERRY ZIMMERMAN,SOCIALIST WORKERS,2.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,GREAVES VARNUM,AMERICAN,1.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,HALL DAVIS,COMMUNIST,0.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,MCREYNOLDS DRUFENBROCK,SOCIALIST,1.000000
1980,AUDUBON,PRESIDENT VICE PRESIDENT,,REAGAN BUSH,REPUBLICAN,2523.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,ANDERSON LUCEY,NOMINATED BY PETITION,948.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,BUBAR DODGE,STATESMAN,1.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,CARTER MONDALE,DEMOCRATIC,4223.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,CLARK KOCH,LIBERTARIAN,116.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,COMMONER HARRIS,CITIZENS,6.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,DE BERRY ZIMMERMAN,SOCIALIST WORKERS,1.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,GREAVES VARNUM,AMERICAN,2.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,HALL DAVIS,COMMUNIST,2.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,MCREYNOLDS DRUFENBROCK,SOCIALIST,6.000000
1980,BENTON,PRESIDENT VICE PRESIDENT,,REAGAN BUSH,REPUBLICAN,5329.000000
1980,BLACK HAWK,PRESIDENT VICE PRESIDENT,,ANDERSON LUCEY,NOMINATED BY PETITION,5847.000000
