year,county,office,district,candidate,party,votes
2002,ADAIR,ATTORNEY GENERAL,,DAVE MILLAGE,REPUBLICAN PARTY,977.000000
2002,ADAIR,ATTORNEY GENERAL,,EDWARD F NOYES,LIBERTARIAN PARTY,46.000000
2002,ADAIR,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,2188.000000
2002,ADAIR,ATTORNEY GENERAL,,WRITE IN VOTES,,0.000000
2002,ADAIR,AUDITOR OF STATE,,CHRISTY ANN WELTY,LIBERTARIAN PARTY,190.000000
2002,ADAIR,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN PARTY,1705.000000
2002,ADAIR,AUDITOR OF STATE,,PATRICK J DELUHERY,DEMOCRATIC PARTY,1229.000000
2002,ADAIR,AUDITOR OF STATE,,WRITE IN VOTES,,0.000000
2002,ADAIR,GOVERNOR,,CLYDE CLEVELAND AND RICHARD CAMPAGNA,LIBERTARIAN PARTY,55.000000
2002,ADAIR,GOVERNOR,,DOUG GROSS AND DEBI DURHAM,REPUBLICAN PARTY,1440.000000
2002,ADAIR,GOVERNOR,,JAY ROBINSON AND HOLLY JANE HART,IOWA GREEN PARTY,48.000000
2002,ADAIR,GOVERNOR,,TOM VILSACK AND SALLY PEDERSON,DEMOCRATIC PARTY,1728.000000
2002,ADAIR,GOVERNOR,,WRITE IN VOTES,,7.000000
2002,ADAIR,SECRETARY OF AGRICULTURE,,BRIAN RUSSELL DEPEW,IOWA GREEN PARTY,180.000000
2002,ADAIR,SECRETARY OF AGRICULTURE,,FRITZ GROSZKRUGER,LIBERTARIAN PARTY,27.000000
2002,ADAIR,SECRETARY OF AGRICULTURE,,JOHN ASKEW,REPUBLICAN PARTY,1458.000000
2002,ADAIR,SECRETARY OF AGRICULTURE,,PATTY JUDGE,DEMOCRATIC PARTY,1478.000000
2002,ADAIR,SECRETARY OF AGRICULTURE,,RONALD TIGNER,NOMINATED BY PETITION,42.000000
2002,ADAIR,SECRETARY OF AGRICULTURE,,WRITE IN VOTES,,0.000000
2002,ADAIR,SECRETARY OF STATE,,CHET CULVER,DEMOCRATIC PARTY,1746.000000
2002,ADAIR,SECRETARY OF STATE,,DON ARENZ,IOWA GREEN PARTY,50.000000
2002,ADAIR,SECRETARY OF STATE,,MIKE HARTWIG,REPUBLICAN PARTY,1253.000000
2002,ADAIR,SECRETARY OF STATE,,SYLVIA SANDERS OLSON,LIBERTARIAN PARTY,67.000000
2002,ADAIR,SECRETARY OF STATE,,WRITE IN VOTES,,1.000000
