year,county,office,district,candidate,party,votes
2010,ADAIR,ATTORNEY GENERAL,,BRENNA FINDLEY,REPUBLICAN,1468.000000
2010,ADAIR,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC,1568.000000
2010,ADAIR,ATTORNEY GENERAL,,WRITE IN,,2.000000
2010,ADAIR,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,1942.000000
2010,ADAIR,AUDITOR OF STATE,,JON MURPHY,DEMOCRATIC,941.000000
2010,ADAIR,AUDITOR OF STATE,,WRITE IN,,0.000000
2010,ADAIR,GOVERNOR,,CHET CULVER PATTY JUDGE,DEMOCRATIC,1147.000000
2010,ADAIR,GOVERNOR,,DAVID ROSENFELD HELEN MEYERS,,4.000000
2010,ADAIR,GOVERNOR,,ERIC COOPER NICK WELTHA,,35.000000
2010,ADAIR,GOVERNOR,,GREGORY JAMES HUGHES ROBIN PRIOR CALEF,,15.000000
2010,ADAIR,GOVERNOR,,JONATHAN NARCISSE RICHARD MARLAR,,75.000000
2010,ADAIR,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN,1799.000000
2010,ADAIR,GOVERNOR,,WRITE IN,,15.000000
2010,ADAIR,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,2219.000000
2010,ADAIR,SECRETARY OF AGRICULTURE,,FRANCIS THICKE,DEMOCRATIC,766.000000
2010,ADAIR,SECRETARY OF AGRICULTURE,,WRITE IN,,1.000000
2010,ADAIR,SECRETARY OF STATE,,JAKE PORTER,,110.000000
2010,ADAIR,SECRETARY OF STATE,,MATT SCHULTZ,REPUBLICAN,1582.000000
2010,ADAIR,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRATIC,1268.000000
2010,ADAIR,SECRETARY OF STATE,,WRITE IN,,0.000000
2010,ADAIR,TREASURER OF STATE,,DAVID D JAMISON,REPUBLICAN,1424.000000
2010,ADAIR,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC,1512.000000
2010,ADAIR,TREASURER OF STATE,,WRITE IN,,0.000000
2010,ADAIR,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN,2220.000000
2010,ADAIR,U S SENATE,,JOHN HEIDERSCHEIT,,60.000000
2010,ADAIR,U S SENATE,,ROXANNE CONLIN,DEMOCRATIC,778.000000
2010,ADAIR,U S SENATE,,WRITE IN,,3.000000
2010,ADAMS,ATTORNEY GENERAL,,BRENNA FINDLEY,REPUBLICAN,754.000000
2010,ADAMS,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC,962.000000
2010,ADAMS,ATTORNEY GENERAL,,WRITE IN,,0.000000
2010,ADAMS,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,980.000000
2010,ADAMS,AUDITOR OF STATE,,JON MURPHY,DEMOCRATIC,638.000000
2010,ADAMS,AUDITOR OF STATE,,WRITE IN,,3.000000
2010,ADAMS,GOVERNOR,,CHET CULVER PATTY JUDGE,DEMOCRATIC,571.000000
2010,ADAMS,GOVERNOR,,DAVID ROSENFELD HELEN MEYERS,,6.000000
2010,ADAMS,GOVERNOR,,ERIC COOPER NICK WELTHA,,33.000000
2010,ADAMS,GOVERNOR,,GREGORY JAMES HUGHES ROBIN PRIOR CALEF,,11.000000
2010,ADAMS,GOVERNOR,,JONATHAN NARCISSE RICHARD MARLAR,,55.000000
2010,ADAMS,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN,1077.000000
2010,ADAMS,GOVERNOR,,WRITE IN,,3.000000
2010,ADAMS,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,1213.000000
2010,ADAMS,SECRETARY OF AGRICULTURE,,FRANCIS THICKE,DEMOCRATIC,462.000000
2010,ADAMS,SECRETARY OF AGRICULTURE,,WRITE IN,,3.000000
2010,ADAMS,SECRETARY OF STATE,,JAKE PORTER,,71.000000
2010,ADAMS,SECRETARY OF STATE,,MATT SCHULTZ,REPUBLICAN,908.000000
2010,ADAMS,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRATIC,694.000000
2010,ADAMS,SECRETARY OF STATE,,WRITE IN,,1.000000
2010,ADAMS,TREASURER OF STATE,,DAVID D JAMISON,REPUBLICAN,786.000000
2010,ADAMS,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC,894.000000
2010,ADAMS,TREASURER OF STATE,,WRITE IN,,2.000000
2010,ADAMS,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN,1234.000000
2010,ADAMS,U S SENATE,,JOHN HEIDERSCHEIT,,49.000000
2010,ADAMS,U S SENATE,,ROXANNE CONLIN,DEMOCRATIC,442.000000
2010,ADAMS,U S SENATE,,WRITE IN,,2.000000
2010,ALLAMAKEE,ATTORNEY GENERAL,,BRENNA FINDLEY,REPUBLICAN,2303.000000
2010,ALLAMAKEE,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC,2776.000000
2010,ALLAMAKEE,ATTORNEY GENERAL,,WRITE IN,,2.000000
2010,ALLAMAKEE,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,2874.000000
2010,ALLAMAKEE,AUDITOR OF STATE,,JON MURPHY,DEMOCRATIC,2100.000000
2010,ALLAMAKEE,AUDITOR OF STATE,,WRITE IN,,5.000000
2010,ALLAMAKEE,GOVERNOR,,CHET CULVER PATTY JUDGE,DEMOCRATIC,2212.000000
2010,ALLAMAKEE,GOVERNOR,,DAVID ROSENFELD HELEN MEYERS,,12.000000
2010,ALLAMAKEE,GOVERNOR,,ERIC COOPER NICK WELTHA,,86.000000
2010,ALLAMAKEE,GOVERNOR,,GREGORY JAMES HUGHES ROBIN PRIOR CALEF,,19.000000
2010,ALLAMAKEE,GOVERNOR,,JONATHAN NARCISSE RICHARD MARLAR,,38.000000
2010,ALLAMAKEE,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN,2966.000000
2010,ALLAMAKEE,GOVERNOR,,WRITE IN,,4.000000
2010,ALLAMAKEE,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,3462.000000
2010,ALLAMAKEE,SECRETARY OF AGRICULTURE,,FRANCIS THICKE,DEMOCRATIC,1635.000000
2010,ALLAMAKEE,SECRETARY OF AGRICULTURE,,WRITE IN,,4.000000
2010,ALLAMAKEE,SECRETARY OF STATE,,JAKE PORTER,,198.000000
2010,ALLAMAKEE,SECRETARY OF STATE,,MATT SCHULTZ,REPUBLICAN,2772.000000
2010,ALLAMAKEE,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRATIC,2085.000000
2010,ALLAMAKEE,SECRETARY OF STATE,,WRITE IN,,1.000000
2010,ALLAMAKEE,TREASURER OF STATE,,DAVID D JAMISON,REPUBLICAN,2565.000000
2010,ALLAMAKEE,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC,2462.000000
2010,ALLAMAKEE,TREASURER OF STATE,,WRITE IN,,4.000000
2010,ALLAMAKEE,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN,3584.000000
2010,ALLAMAKEE,U S SENATE,,JOHN HEIDERSCHEIT,,259.000000
2010,ALLAMAKEE,U S SENATE,,ROXANNE CONLIN,DEMOCRATIC,1416.000000
2010,ALLAMAKEE,U S SENATE,,WRITE IN,,1.000000
2010,APPANOOSE,ATTORNEY GENERAL,,BRENNA FINDLEY,REPUBLICAN,2224.000000
2010,APPANOOSE,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC,2327.000000
2010,APPANOOSE,ATTORNEY GENERAL,,WRITE IN,,1.000000
2010,APPANOOSE,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,2728.000000
2010,APPANOOSE,AUDITOR OF STATE,,JON MURPHY,DEMOCRATIC,1690.000000
2010,APPANOOSE,AUDITOR OF STATE,,WRITE IN,,1.000000
2010,APPANOOSE,GOVERNOR,,CHET CULVER PATTY JUDGE,DEMOCRATIC,1553.000000
2010,APPANOOSE,GOVERNOR,,DAVID ROSENFELD HELEN MEYERS,,16.000000
2010,APPANOOSE,GOVERNOR,,ERIC COOPER NICK WELTHA,,70.000000
2010,APPANOOSE,GOVERNOR,,GREGORY JAMES HUGHES ROBIN PRIOR CALEF,,12.000000
2010,APPANOOSE,GOVERNOR,,JONATHAN NARCISSE RICHARD MARLAR,,149.000000
2010,APPANOOSE,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN,2809.000000
2010,APPANOOSE,GOVERNOR,,WRITE IN,,13.000000
2010,APPANOOSE,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,3026.000000
2010,APPANOOSE,SECRETARY OF AGRICULTURE,,FRANCIS THICKE,DEMOCRATIC,1422.000000
2010,APPANOOSE,SECRETARY OF AGRICULTURE,,WRITE IN,,2.000000
2010,APPANOOSE,SECRETARY OF STATE,,JAKE PORTER,,162.000000
2010,APPANOOSE,SECRETARY OF STATE,,MATT SCHULTZ,REPUBLICAN,2428.000000
2010,APPANOOSE,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRATIC,1867.000000
2010,APPANOOSE,SECRETARY OF STATE,,WRITE IN,,3.000000
2010,APPANOOSE,TREASURER OF STATE,,DAVID D JAMISON,REPUBLICAN,2308.000000
2010,APPANOOSE,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC,2148.000000
2010,APPANOOSE,TREASURER OF STATE,,WRITE IN,,0.000000
2010,APPANOOSE,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN,3050.000000
2010,APPANOOSE,U S SENATE,,JOHN HEIDERSCHEIT,,144.000000
2010,APPANOOSE,U S SENATE,,ROXANNE CONLIN,DEMOCRATIC,1398.000000
2010,APPANOOSE,U S SENATE,,WRITE IN,,5.000000
2010,AUDUBON,ATTORNEY GENERAL,,BRENNA FINDLEY,REPUBLICAN,1139.000000
2010,AUDUBON,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC,1444.000000
2010,AUDUBON,ATTORNEY GENERAL,,WRITE IN,,1.000000
2010,AUDUBON,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,1451.000000
2010,AUDUBON,AUDITOR OF STATE,,JON MURPHY,DEMOCRATIC,931.000000
2010,AUDUBON,AUDITOR OF STATE,,WRITE IN,,2.000000
2010,AUDUBON,GOVERNOR,,CHET CULVER PATTY JUDGE,DEMOCRATIC,1064.000000
2010,AUDUBON,GOVERNOR,,DAVID ROSENFELD HELEN MEYERS,,7.000000
2010,AUDUBON,GOVERNOR,,ERIC COOPER NICK WELTHA,,26.000000
2010,AUDUBON,GOVERNOR,,GREGORY JAMES HUGHES ROBIN PRIOR CALEF,,15.000000
2010,AUDUBON,GOVERNOR,,JONATHAN NARCISSE RICHARD MARLAR,,39.000000
2010,AUDUBON,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN,1592.000000
2010,AUDUBON,GOVERNOR,,WRITE IN,,9.000000
2010,AUDUBON,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,1791.000000
2010,AUDUBON,SECRETARY OF AGRICULTURE,,FRANCIS THICKE,DEMOCRATIC,743.000000
2010,AUDUBON,SECRETARY OF AGRICULTURE,,WRITE IN,,2.000000
2010,AUDUBON,SECRETARY OF STATE,,JAKE PORTER,,77.000000
2010,AUDUBON,SECRETARY OF STATE,,MATT SCHULTZ,REPUBLICAN,1340.000000
2010,AUDUBON,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRATIC,1064.000000
2010,AUDUBON,SECRETARY OF STATE,,WRITE IN,,1.000000
2010,AUDUBON,TREASURER OF STATE,,DAVID D JAMISON,REPUBLICAN,1141.000000
2010,AUDUBON,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC,1327.000000
2010,AUDUBON,TREASURER OF STATE,,WRITE IN,,1.000000
2010,AUDUBON,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN,1908.000000
2010,AUDUBON,U S SENATE,,JOHN HEIDERSCHEIT,,59.000000
2010,AUDUBON,U S SENATE,,ROXANNE CONLIN,DEMOCRATIC,747.000000
2010,AUDUBON,U S SENATE,,WRITE IN,,0.000000
