year,plan2_district,office,district,candidate,party,votes
2018,1,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,1463.217965
2018,1,ATTORNEY GENERAL,,TOM MILLER,DEM,5495.592192
2018,1,ATTORNEY GENERAL,,WRITE IN,,76.727292
2018,1,AUDITOR OF STATE,,FRED PERRYMAN,LIB,223.136306
2018,1,AUDITOR OF STATE,,MARY MOSIMAN,REP,2753.117907
2018,1,AUDITOR OF STATE,,ROB SAND,DEM,4841.372500
2018,1,AUDITOR OF STATE,,WRITE IN,,3.000000
2018,1,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,4336.959393
2018,1,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,31.895289
2018,1,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,163.492145
2018,1,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,3464.633612
2018,1,GOVERNOR,,WRITE IN,,6.975962
2018,1,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,3117.776504
2018,1,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,280.015684
2018,1,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,4386.134082
2018,1,SECRETARY OF AGRICULTURE,,WRITE IN,,5.973605
2018,1,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,4409.812129
2018,1,SECRETARY OF STATE,,JULES OFENBAKH,LIB,205.389783
2018,1,SECRETARY OF STATE,,PAUL D PATE,REP,3234.305130
2018,1,SECRETARY OF STATE,,WRITE IN,,5.986803
2018,1,TREASURER OF STATE,,JEREMY N DAVIS,REP,2879.723648
2018,1,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,4704.946784
2018,1,TREASURER OF STATE,,TIMOTHY HIRD,LIB,203.342817
2018,1,TREASURER OF STATE,,WRITE IN,,1.000000
2018,10,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,2898.990340
2018,10,ATTORNEY GENERAL,,TOM MILLER,DEM,9355.373665
2018,10,ATTORNEY GENERAL,,WRITE IN,,93.523042
2018,10,AUDITOR OF STATE,,FRED PERRYMAN,LIB,269.516884
2018,10,AUDITOR OF STATE,,MARY MOSIMAN,REP,8615.299710
2018,10,AUDITOR OF STATE,,ROB SAND,DEM,5977.003815
2018,10,AUDITOR OF STATE,,WRITE IN,,4.000000
2018,10,GOVERNOR,,FRED HUBBELL,DEM,0.000001
2018,10,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,5393.807679
2018,10,GOVERNOR,,GARY SIEGWARTH,CWP,0.000000
