year,vtd_id,office,district,candidate,party,votes
2020,19001001005,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001005,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.850002
2020,19001001005,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,21.577785
2020,19001001005,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.158530
2020,19001001005,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001005,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.016387
2020,19001001005,PRESIDENT,,WRITE IN,,0.087458
2020,19001001005,U S SENATE,,JONI ERNST,REP,48.935254
2020,19001001005,U S SENATE,,RICK STEWART,LIB,1.787462
2020,19001001005,U S SENATE,,SUZANNE HERZOG,,0.841809
2020,19001001005,U S SENATE,,THERESA GREENFIELD,DEM,22.187324
2020,19001001005,U S SENATE,,WRITE IN,,0.158530
2020,19001001006,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001006,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.414616
2020,19001001006,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,81.264783
2020,19001001006,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001006,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,1.382054
2020,19001001006,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,34.551353
2020,19001001006,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.276411
2020,19001001006,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001006,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,19001001006,PRESIDENT,,WRITE IN,,0.138205
2020,19001001006,U S SENATE,,JONI ERNST,REP,76.565799
2020,19001001006,U S SENATE,,RICK STEWART,LIB,2.902314
2020,19001001006,U S SENATE,,SUZANNE HERZOG,,1.382054
2020,19001001006,U S SENATE,,THERESA GREENFIELD,DEM,35.656997
2020,19001001006,U S SENATE,,WRITE IN,,0.276411
2020,19001001007,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001007,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,1.469449
2020,19001001007,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,288.011950
2020,19001001007,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001007,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,4.898162
2020,19001001007,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,122.454061
2020,19001001007,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.979632
2020,19001001007,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001007,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,19001001007,PRESIDENT,,WRITE IN,,0.489816
2020,19001001007,U S SENATE,,JONI ERNST,REP,271.358198
2020,19001001007,U S SENATE,,RICK STEWART,LIB,10.286141
2020,19001001007,U S SENATE,,SUZANNE HERZOG,,4.898162
2020,19001001007,U S SENATE,,THERESA GREENFIELD,DEM,126.372591
2020,19001001007,U S SENATE,,WRITE IN,,0.979632
2020,19001001008,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001008,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.361773
2020,19001001008,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,70.907507
2020,19001001008,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001008,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,1.205910
2020,19001001008,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,30.147750
2020,19001001008,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.241182
2020,19001001008,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001008,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,19001001008,PRESIDENT,,WRITE IN,,0.120591
2020,19001001008,U S SENATE,,JONI ERNST,REP,66.807414
2020,19001001008,U S SENATE,,RICK STEWART,LIB,2.532411
2020,19001001008,U S SENATE,,SUZANNE HERZOG,,1.205910
2020,19001001008,U S SENATE,,THERESA GREENFIELD,DEM,31.112478
2020,19001001008,U S SENATE,,WRITE IN,,0.241182
2020,19001001009,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001009,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.329254
2020,19001001009,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,64.533798
2020,19001001009,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001009,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,1.097514
2020,19001001009,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,27.437839
2020,19001001009,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.219503
2020,19001001009,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001009,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,19001001009,PRESIDENT,,WRITE IN,,0.109751
2020,19001001009,U S SENATE,,JONI ERNST,REP,60.802252
2020,19001001009,U S SENATE,,RICK STEWART,LIB,2.304778
2020,19001001009,U S SENATE,,SUZANNE HERZOG,,1.097514
2020,19001001009,U S SENATE,,THERESA GREENFIELD,DEM,28.315850
2020,19001001009,U S SENATE,,WRITE IN,,0.219503
2020,19001001010,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001010,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001010,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,64.119811
2020,19001001010,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001010,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.714711
2020,19001001010,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,21.951846
2020,19001001010,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.000000
2020,19001001010,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001010,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.204203
2020,19001001010,PRESIDENT,,WRITE IN,,0.102102
2020,19001001010,U S SENATE,,JONI ERNST,REP,62.588287
2020,19001001010,U S SENATE,,RICK STEWART,LIB,1.531524
2020,19001001010,U S SENATE,,SUZANNE HERZOG,,0.612610
2020,19001001010,U S SENATE,,THERESA GREENFIELD,DEM,21.645541
2020,19001001010,U S SENATE,,WRITE IN,,0.000000
2020,19001001011,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001011,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001011,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,39.975932
2020,19001001011,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001011,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.445592
2020,19001001011,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,13.686028
2020,19001001011,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.000000
2020,19001001011,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001011,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.127312
2020,19001001011,PRESIDENT,,WRITE IN,,0.063656
2020,19001001011,U S SENATE,,JONI ERNST,REP,39.021093
2020,19001001011,U S SENATE,,RICK STEWART,LIB,0.954839
2020,19001001011,U S SENATE,,SUZANNE HERZOG,,0.381936
2020,19001001011,U S SENATE,,THERESA GREENFIELD,DEM,13.495060
2020,19001001011,U S SENATE,,WRITE IN,,0.000000
2020,19001001012,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001012,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.089355
2020,19001001012,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,54.506498
2020,19001001012,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001012,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.178710
2020,19001001012,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,17.692273
2020,19001001012,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.178710
2020,19001001012,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001012,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.178710
2020,19001001012,PRESIDENT,,WRITE IN,,0.000000
2020,19001001012,U S SENATE,,JONI ERNST,REP,52.630045
2020,19001001012,U S SENATE,,RICK STEWART,LIB,1.787098
2020,19001001012,U S SENATE,,SUZANNE HERZOG,,0.268065
2020,19001001012,U S SENATE,,THERESA GREENFIELD,DEM,17.781628
2020,19001001012,U S SENATE,,WRITE IN,,0.000000
2020,19001001013,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001013,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.108398
2020,19001001013,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,66.122637
2020,19001001013,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001013,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.216796
2020,19001001013,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,21.462758
2020,19001001013,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.216796
2020,19001001013,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001013,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.216796
2020,19001001013,PRESIDENT,,WRITE IN,,0.000000
2020,19001001013,U S SENATE,,JONI ERNST,REP,63.846284
2020,19001001013,U S SENATE,,RICK STEWART,LIB,2.167955
2020,19001001013,U S SENATE,,SUZANNE HERZOG,,0.325193
2020,19001001013,U S SENATE,,THERESA GREENFIELD,DEM,21.571155
2020,19001001013,U S SENATE,,WRITE IN,,0.000000
2020,19001001014,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001014,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.592044
2020,19001001014,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,417.610863
2020,19001001014,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000000
2020,19001001014,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,1.813466
2020,19001001014,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,136.555555
2020,19001001014,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,1.184087
2020,19001001014,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001014,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,1.363910
2020,19001001014,PRESIDENT,,WRITE IN,,0.089911
2020,19001001014,U S SENATE,,JONI ERNST,REP,403.829279
2020,19001001014,U S SENATE,,RICK STEWART,LIB,13.189541
2020,19001001014,U S SENATE,,SUZANNE HERZOG,,2.315598
2020,19001001014,U S SENATE,,THERESA GREENFIELD,DEM,136.877864
2020,19001001014,U S SENATE,,WRITE IN,,0.000000
2020,19001001015,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000008
2020,19001001015,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.144277
2020,19001001015,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,76.140104
2020,19001001015,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.171241
2020,19001001015,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.994679
2020,19001001015,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,32.058856
2020,19001001015,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.267419
2020,19001001015,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001015,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000015
2020,19001001015,PRESIDENT,,WRITE IN,,0.304932
2020,19001001015,U S SENATE,,JONI ERNST,REP,72.621352
2020,19001001015,U S SENATE,,RICK STEWART,LIB,2.123063
2020,19001001015,U S SENATE,,SUZANNE HERZOG,,1.593925
2020,19001001015,U S SENATE,,THERESA GREENFIELD,DEM,32.529224
2020,19001001015,U S SENATE,,WRITE IN,,0.181798
2020,19001001016,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.010947
2020,19001001016,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000000
2020,19001001016,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,44.272768
2020,19001001016,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.159457
2020,19001001016,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.522159
2020,19001001016,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,19.389944
2020,19001001016,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.148511
2020,19001001016,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001016,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.021894
2020,19001001016,PRESIDENT,,WRITE IN,,0.206346
2020,19001001016,U S SENATE,,JONI ERNST,REP,42.584418
2020,19001001016,U S SENATE,,RICK STEWART,LIB,1.113100
2020,19001001016,U S SENATE,,SUZANNE HERZOG,,0.937952
2020,19001001016,U S SENATE,,THERESA GREENFIELD,DEM,19.480619
2020,19001001016,U S SENATE,,WRITE IN,,0.068782
2020,19001001017,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.989046
2020,19001001017,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.000154
2020,19001001017,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,697.627563
2020,19001001017,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,2.591419
2020,19001001017,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,11.730953
2020,19001001017,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,369.474913
2020,19001001017,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,1.602476
2020,19001001017,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001017,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,1.978091
2020,19001001017,PRESIDENT,,WRITE IN,,0.920043
2020,19001001017,U S SENATE,,JONI ERNST,REP,675.054481
2020,19001001017,U S SENATE,,RICK STEWART,LIB,23.768622
2020,19001001017,U S SENATE,,SUZANNE HERZOG,,7.943326
2020,19001001017,U S SENATE,,THERESA GREENFIELD,DEM,371.760080
2020,19001001017,U S SENATE,,WRITE IN,,0.306767
2020,19001001018,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000000
2020,19001001018,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,0.042681
2020,19001001018,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,55.046367
2020,19001001018,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.167016
2020,19001001018,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,0.643317
2020,19001001018,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,23.097588
2020,19001001018,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.195470
2020,19001001018,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,19001001018,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,19001001018,PRESIDENT,,WRITE IN,,0.264751
2020,19001001018,U S SENATE,,JONI ERNST,REP,52.725476
2020,19001001018,U S SENATE,,RICK STEWART,LIB,1.384369
2020,19001001018,U S SENATE,,SUZANNE HERZOG,,1.227872
