year,county,office,district,candidate,party,votes
1988,ADAIR,PRESIDENT VICE PRESIDENT,,BUSH QUAYLE,REPUBLICAN,1833.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,DUKAKIS BENTSON,DEMOCRATIC,2261.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,DUKE PARKER,PATRIOTIC PARTY,0.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,FULANI DATTNER,NEW ALLIANCE,1.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,KENOYER EHRENREICH,IOWA SOCIALIST,0.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,LA ROUCHE FREEMAN,NOMINATED BY PETITION,7.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,PAUL MARROU,LIBERTARIAN,5.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,SCATTERING,,16.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,WARREN MICKELLS,SOCIALIST WORKERS,0.000000
1988,ADAIR,PRESIDENT VICE PRESIDENT,,WINN PORSTER,WORKERS LEAGUE,0.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,BUSH QUAYLE,REPUBLICAN,1080.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,DUKAKIS BENTSON,DEMOCRATIC,1283.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,DUKE PARKER,PATRIOTIC PARTY,2.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,FULANI DATTNER,NEW ALLIANCE,1.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,KENOYER EHRENREICH,IOWA SOCIALIST,0.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,LA ROUCHE FREEMAN,NOMINATED BY PETITION,4.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,PAUL MARROU,LIBERTARIAN,5.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,SCATTERING,,4.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,WARREN MICKELLS,SOCIALIST WORKERS,1.000000
1988,ADAMS,PRESIDENT VICE PRESIDENT,,WINN PORSTER,WORKERS LEAGUE,0.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,BUSH QUAYLE,REPUBLICAN,3186.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,DUKAKIS BENTSON,DEMOCRATIC,2768.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,DUKE PARKER,PATRIOTIC PARTY,10.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,FULANI DATTNER,NEW ALLIANCE,1.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,KENOYER EHRENREICH,IOWA SOCIALIST,5.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,LA ROUCHE FREEMAN,NOMINATED BY PETITION,12.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,PAUL MARROU,LIBERTARIAN,11.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,SCATTERING,,2.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,WARREN MICKELLS,SOCIALIST WORKERS,0.000000
1988,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,WINN PORSTER,WORKERS LEAGUE,0.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,BUSH QUAYLE,REPUBLICAN,2779.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,DUKAKIS BENTSON,DEMOCRATIC,3209.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,DUKE PARKER,PATRIOTIC PARTY,8.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,FULANI DATTNER,NEW ALLIANCE,3.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,KENOYER EHRENREICH,IOWA SOCIALIST,7.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,LA ROUCHE FREEMAN,NOMINATED BY PETITION,62.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,PAUL MARROU,LIBERTARIAN,15.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,SCATTERING,,3.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,WARREN MICKELLS,SOCIALIST WORKERS,1.000000
1988,APPANOOSE,PRESIDENT VICE PRESIDENT,,WINN PORSTER,WORKERS LEAGUE,1.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,BUSH QUAYLE,REPUBLICAN,1478.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,DUKAKIS BENTSON,DEMOCRATIC,1863.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,DUKE PARKER,PATRIOTIC PARTY,0.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,FULANI DATTNER,NEW ALLIANCE,1.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,KENOYER EHRENREICH,IOWA SOCIALIST,1.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,LA ROUCHE FREEMAN,NOMINATED BY PETITION,16.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,PAUL MARROU,LIBERTARIAN,4.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,SCATTERING,,6.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,WARREN MICKELLS,SOCIALIST WORKERS,1.000000
1988,AUDUBON,PRESIDENT VICE PRESIDENT,,WINN PORSTER,WORKERS LEAGUE,1.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,BUSH QUAYLE,REPUBLICAN,4011.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,DUKAKIS BENTSON,DEMOCRATIC,5873.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,DUKE PARKER,PATRIOTIC PARTY,4.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,FULANI DATTNER,NEW ALLIANCE,8.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,KENOYER EHRENREICH,IOWA SOCIALIST,5.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,LA ROUCHE FREEMAN,NOMINATED BY PETITION,44.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,PAUL MARROU,LIBERTARIAN,15.000000
1988,BENTON,PRESIDENT VICE PRESIDENT,,SCATTERING,,14.000000
