year,county,office,district,candidate,party,votes
1998,ADAIR,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,2665.000000
1998,ADAIR,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,715.000000
1998,ADAIR,U S SENATE,,MARGARET TROWE,,11.000000
1998,ADAIR,U S SENATE,,SCATTERING,,0.000000
1998,ADAIR,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,21.000000
1998,ADAMS,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,1252.000000
1998,ADAMS,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,406.000000
1998,ADAMS,U S SENATE,,MARGARET TROWE,,8.000000
1998,ADAMS,U S SENATE,,SCATTERING,,0.000000
1998,ADAMS,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,16.000000
1998,ALLAMAKEE,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,3395.000000
1998,ALLAMAKEE,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1201.000000
1998,ALLAMAKEE,U S SENATE,,MARGARET TROWE,,16.000000
1998,ALLAMAKEE,U S SENATE,,SCATTERING,,1.000000
1998,ALLAMAKEE,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,36.000000
1998,APPANOOSE,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,2733.000000
1998,APPANOOSE,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1197.000000
1998,APPANOOSE,U S SENATE,,MARGARET TROWE,,10.000000
1998,APPANOOSE,U S SENATE,,SCATTERING,,2.000000
1998,APPANOOSE,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,24.000000
1998,AUDUBON,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,1788.000000
1998,AUDUBON,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,726.000000
1998,AUDUBON,U S SENATE,,MARGARET TROWE,,8.000000
1998,AUDUBON,U S SENATE,,SCATTERING,,0.000000
1998,AUDUBON,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,3.000000
1998,BENTON,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,6200.000000
1998,BENTON,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,2438.000000
1998,BENTON,U S SENATE,,MARGARET TROWE,,10.000000
1998,BENTON,U S SENATE,,SCATTERING,,0.000000
1998,BENTON,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,56.000000
1998,BLACK HAWK,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,25792.000000
1998,BLACK HAWK,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,13365.000000
1998,BLACK HAWK,U S SENATE,,MARGARET TROWE,,73.000000
1998,BLACK HAWK,U S SENATE,,SCATTERING,,15.000000
1998,BLACK HAWK,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,192.000000
1998,BOONE,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,5927.000000
1998,BOONE,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,2915.000000
1998,BOONE,U S SENATE,,MARGARET TROWE,,24.000000
1998,BOONE,U S SENATE,,SCATTERING,,1.000000
1998,BOONE,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,73.000000
1998,BREMER,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,6375.000000
1998,BREMER,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1787.000000
1998,BREMER,U S SENATE,,MARGARET TROWE,,14.000000
1998,BREMER,U S SENATE,,SCATTERING,,1.000000
1998,BREMER,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,37.000000
1998,BUCHANAN,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,5228.000000
1998,BUCHANAN,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,2008.000000
1998,BUCHANAN,U S SENATE,,MARGARET TROWE,,17.000000
1998,BUCHANAN,U S SENATE,,SCATTERING,,1.000000
1998,BUCHANAN,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,61.000000
1998,BUENA VISTA,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,4266.000000
1998,BUENA VISTA,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1286.000000
1998,BUENA VISTA,U S SENATE,,MARGARET TROWE,,15.000000
1998,BUENA VISTA,U S SENATE,,SCATTERING,,1.000000
1998,BUENA VISTA,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,23.000000
1998,BUTLER,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,4007.000000
1998,BUTLER,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,959.000000
1998,BUTLER,U S SENATE,,MARGARET TROWE,,20.000000
1998,BUTLER,U S SENATE,,SCATTERING,,1.000000
1998,BUTLER,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,16.000000
1998,CALHOUN,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,2989.000000
1998,CALHOUN,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,845.000000
1998,CALHOUN,U S SENATE,,MARGARET TROWE,,9.000000
1998,CALHOUN,U S SENATE,,SCATTERING,,0.000000
1998,CALHOUN,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,27.000000
1998,CARROLL,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,5243.000000
1998,CARROLL,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1785.000000
1998,CARROLL,U S SENATE,,MARGARET TROWE,,16.000000
1998,CARROLL,U S SENATE,,SCATTERING,,1.000000
1998,CARROLL,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,50.000000
1998,CASS,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,3926.000000
1998,CASS,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,998.000000
1998,CASS,U S SENATE,,MARGARET TROWE,,22.000000
1998,CASS,U S SENATE,,SCATTERING,,1.000000
1998,CASS,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,26.000000
1998,CEDAR,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,4254.000000
1998,CEDAR,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1812.000000
1998,CEDAR,U S SENATE,,MARGARET TROWE,,25.000000
1998,CEDAR,U S SENATE,,SCATTERING,,0.000000
1998,CEDAR,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,34.000000
1998,CERRO GORDO,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,11065.000000
1998,CERRO GORDO,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,5127.000000
1998,CERRO GORDO,U S SENATE,,MARGARET TROWE,,36.000000
1998,CERRO GORDO,U S SENATE,,SCATTERING,,1.000000
1998,CERRO GORDO,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,77.000000
1998,CHEROKEE,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,3542.000000
1998,CHEROKEE,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1113.000000
1998,CHEROKEE,U S SENATE,,MARGARET TROWE,,13.000000
1998,CHEROKEE,U S SENATE,,SCATTERING,,1.000000
1998,CHEROKEE,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,32.000000
1998,CHICKASAW,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,4175.000000
1998,CHICKASAW,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1159.000000
1998,CHICKASAW,U S SENATE,,MARGARET TROWE,,13.000000
1998,CHICKASAW,U S SENATE,,SCATTERING,,4.000000
1998,CHICKASAW,U S SENATE,,SUSAN MARCUS,NATURAL LAW PARTY,29.000000
1998,CLARKE,U S SENATE,,CHUCK GRASSLEY,REPUBLICAN PARTY,2412.000000
1998,CLARKE,U S SENATE,,DAVID OSTERBERG,DEMOCRATIC PARY,1004.000000
1998,CLARKE,U S SENATE,,MARGARET TROWE,,9.000000
