year,county,office,district,candidate,party,votes
2012,ADAIR,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,1790.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,30.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,3.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,5.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,6.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,9.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,2114.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,OVER VOTES,,4.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,20.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,8.000000
2012,ADAIR,PRESIDENT VICE PRESIDENT,,WRITE IN,,31.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,1028.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,16.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,0.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,4.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,8.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,3.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,1108.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,OVER VOTES,,4.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,17.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,6.000000
2012,ADAMS,PRESIDENT VICE PRESIDENT,,WRITE IN,,12.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,3553.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,27.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,1.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,17.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,2.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,27.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,3264.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,OVER VOTES,,18.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,51.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,9.000000
2012,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,WRITE IN,,34.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,2951.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,44.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,2.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,2.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,8.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,18.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,3161.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,OVER VOTES,,13.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,38.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,15.000000
2012,APPANOOSE,PRESIDENT VICE PRESIDENT,,WRITE IN,,44.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,1611.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,12.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,1.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,1.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,2.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,8.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,1802.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,OVER VOTES,,7.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,42.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,8.000000
2012,AUDUBON,PRESIDENT VICE PRESIDENT,,WRITE IN,,12.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,6862.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,100.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,6.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,2.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,10.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,25.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,6940.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,OVER VOTES,,13.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,71.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,31.000000
2012,BENTON,PRESIDENT VICE PRESIDENT,,WRITE IN,,47.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,39821.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,540.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,13.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,15.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,14.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,118.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,26235.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,OVER VOTES,,174.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,153.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,96.000000
2012,BLACK HAWK,PRESIDENT VICE PRESIDENT,,WRITE IN,,289.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,7512.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,122.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,1.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,2.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,21.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,43.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,6556.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,OVER VOTES,,20.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,54.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,55.000000
2012,BOONE,PRESIDENT VICE PRESIDENT,,WRITE IN,,76.000000
2012,BREMER,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,6763.000000
2012,BREMER,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,82.000000
2012,BREMER,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,3.000000
2012,BREMER,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,4.000000
2012,BREMER,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,7.000000
