year,county,office,district,candidate,party,votes
1992,ADAIR,PRESIDENT VICE PRESIDENT,,BUSH QUALE,REPUBLICAN,1713.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,1655.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,EHLERS WENDT,NOMINATED BY PETITION,0.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,GRITZ MINETT,AMERICA FIRST,1.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,HERER GRIMMER,GRASS ROOTS,0.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,MARROU LORD,LIBERTARIAN,3.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,PEROT STOCKDALE,NOMINATED BY PETITION,814.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,WARREN REIN,SOCIALIST WORKERS,0.000000
1992,ADAIR,PRESIDENT VICE PRESIDENT,,YIAMOUYIANNIS MCCONE,NOMINATED BY PETITION,6.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,BUSH QUALE,REPUBLICAN,863.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,1034.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,EHLERS WENDT,NOMINATED BY PETITION,2.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,GRITZ MINETT,AMERICA FIRST,10.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,HERER GRIMMER,GRASS ROOTS,0.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,MARROU LORD,LIBERTARIAN,1.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,PEROT STOCKDALE,NOMINATED BY PETITION,679.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,WARREN REIN,SOCIALIST WORKERS,0.000000
1992,ADAMS,PRESIDENT VICE PRESIDENT,,YIAMOUYIANNIS MCCONE,NOMINATED BY PETITION,3.000000
1992,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,BUSH QUALE,REPUBLICAN,2627.000000
1992,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,CLINTON GORE,DEMOCRATIC,2362.000000
1992,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,EHLERS WENDT,NOMINATED BY PETITION,20.000000
1992,ALLAMAKEE,PRESIDENT VICE PRESIDENT,,GRITZ MINETT,AMERICA FIRST,111.000000
