year,county,office,district,candidate,party,votes
2022,BENTON,ATTORNEY GENERAL,,TOM MILLER,DEM,4452.000000
2022,BENTON,ATTORNEY GENERAL,,WRITE IN,,8.000000
2022,BENTON,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,3292.000000
2022,BENTON,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,7745.000000
2022,BENTON,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,305.000000
2022,BENTON,GOVERNOR,,WRITE IN,,4.000000
2022,BENTON,SECRETARY OF STATE,,JOEL MILLER,DEM,3184.000000
2022,BENTON,SECRETARY OF STATE,,PAUL D PATE,REP,8058.000000
2022,BENTON,SECRETARY OF STATE,,WRITE IN,,5.000000
2022,BENTON,U S SENATE,,CHUCK GRASSLEY,REP,7502.000000
2022,BENTON,U S SENATE,,MICHAEL FRANKEN,DEM,3823.000000
2022,BENTON,U S SENATE,,WRITE IN,,21.000000
2022,BLACK HAWK,ATTORNEY GENERAL,,BRENNA BIRD,REP,19875.000000
2022,BLACK HAWK,ATTORNEY GENERAL,,TOM MILLER,DEM,26409.000000
2022,BLACK HAWK,ATTORNEY GENERAL,,WRITE IN,,15.000000
2022,BLACK HAWK,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,21585.000000
2022,BLACK HAWK,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,24236.000000
2022,BLACK HAWK,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,1289.000000
2022,BLACK HAWK,GOVERNOR,,WRITE IN,,30.000000
2022,BLACK HAWK,SECRETARY OF STATE,,JOEL MILLER,DEM,21138.000000
2022,BLACK HAWK,SECRETARY OF STATE,,PAUL D PATE,REP,25027.000000
2022,BLACK HAWK,SECRETARY OF STATE,,WRITE IN,,34.000000
2022,BLACK HAWK,U S SENATE,,CHUCK GRASSLEY,REP,23133.000000
2022,BLACK HAWK,U S SENATE,,MICHAEL FRANKEN,DEM,24036.000000
2022,BLACK HAWK,U S SENATE,,WRITE IN,,54.000000
2022,BOONE,ATTORNEY GENERAL,,BRENNA BIRD,REP,5722.000000
2022,BOONE,ATTORNEY GENERAL,,TOM MILLER,DEM,5295.000000
2022,BOONE,ATTORNEY GENERAL,,WRITE IN,,11.000000
2022,BOONE,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,4065.000000
2022,BOONE,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,6813.000000
2022,BOONE,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,317.000000
2022,BOONE,GOVERNOR,,WRITE IN,,9.000000
2022,BOONE,SECRETARY OF STATE,,JOEL MILLER,DEM,3843.000000
2022,BOONE,SECRETARY OF STATE,,PAUL D PATE,REP,7212.000000
2022,BOONE,SECRETARY OF STATE,,WRITE IN,,8.000000
2022,BOONE,U S SENATE,,CHUCK GRASSLEY,REP,6456.000000
2022,BOONE,U S SENATE,,MICHAEL FRANKEN,DEM,4618.000000
2022,BOONE,U S SENATE,,WRITE IN,,20.000000
2022,BREMER,ATTORNEY GENERAL,,BRENNA BIRD,REP,5777.000000
2022,BREMER,ATTORNEY GENERAL,,TOM MILLER,DEM,5106.000000
2022,BREMER,ATTORNEY GENERAL,,WRITE IN,,3.000000
2022,BREMER,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,3820.000000
2022,BREMER,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,6989.000000
2022,BREMER,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,277.000000
2022,BREMER,GOVERNOR,,WRITE IN,,4.000000
2022,BREMER,SECRETARY OF STATE,,JOEL MILLER,DEM,3630.000000
2022,BREMER,SECRETARY OF STATE,,PAUL D PATE,REP,7269.000000
2022,BREMER,SECRETARY OF STATE,,WRITE IN,,2.000000
2022,BREMER,U S SENATE,,CHUCK GRASSLEY,REP,6641.000000
2022,BREMER,U S SENATE,,MICHAEL FRANKEN,DEM,4345.000000
2022,BREMER,U S SENATE,,WRITE IN,,6.000000
2022,BUCHANAN,ATTORNEY GENERAL,,BRENNA BIRD,REP,4379.000000
2022,BUCHANAN,ATTORNEY GENERAL,,TOM MILLER,DEM,3662.000000
2022,BUCHANAN,ATTORNEY GENERAL,,WRITE IN,,3.000000
2022,BUCHANAN,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,2650.000000
2022,BUCHANAN,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,5356.000000
2022,BUCHANAN,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,209.000000
2022,BUCHANAN,GOVERNOR,,WRITE IN,,2.000000
2022,BUCHANAN,SECRETARY OF STATE,,JOEL MILLER,DEM,2691.000000
2022,BUCHANAN,SECRETARY OF STATE,,PAUL D PATE,REP,5443.000000
2022,BUCHANAN,SECRETARY OF STATE,,WRITE IN,,3.000000
2022,BUCHANAN,U S SENATE,,CHUCK GRASSLEY,REP,5085.000000
2022,BUCHANAN,U S SENATE,,MICHAEL FRANKEN,DEM,3071.000000
2022,BUCHANAN,U S SENATE,,WRITE IN,,10.000000
2022,BUENA VISTA,ATTORNEY GENERAL,,BRENNA BIRD,REP,3097.000000
2022,BUENA VISTA,ATTORNEY GENERAL,,TOM MILLER,DEM,1889.000000
2022,BUENA VISTA,ATTORNEY GENERAL,,WRITE IN,,6.000000
2022,BUENA VISTA,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,1299.000000
2022,BUENA VISTA,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,3745.000000
2022,BUENA VISTA,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,101.000000
2022,BUENA VISTA,GOVERNOR,,WRITE IN,,0.000000
2022,BUENA VISTA,SECRETARY OF STATE,,JOEL MILLER,DEM,1315.000000
2022,BUENA VISTA,SECRETARY OF STATE,,PAUL D PATE,REP,3705.000000
2022,BUENA VISTA,SECRETARY OF STATE,,WRITE IN,,4.000000
