year,county,office,district,candidate,party,votes
2006,ADAIR,ATTORNEY GENERAL,,SCATTERING,,7.000000
2006,ADAIR,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,2298.000000
2006,ADAIR,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,2139.000000
2006,ADAIR,AUDITOR OF STATE,,SCATTERING,,12.000000
2006,ADAIR,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,1733.000000
2006,ADAIR,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,1220.000000
2006,ADAIR,SECRETARY OF AGRICULTURE,,SCATTERING,,8.000000
2006,ADAIR,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,1391.000000
2006,ADAIR,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,1470.000000
2006,ADAIR,SECRETARY OF STATE,,SCATTERING,,1.000000
2006,ADAIR,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,2163.000000
2006,ADAIR,TREASURER OF STATE,,SCATTERING,,9.000000
2006,ADAMS,ATTORNEY GENERAL,,SCATTERING,,3.000000
2006,ADAMS,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,1318.000000
2006,ADAMS,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,1120.000000
2006,ADAMS,AUDITOR OF STATE,,SCATTERING,,8.000000
2006,ADAMS,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,934.000000
2006,ADAMS,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,659.000000
2006,ADAMS,SECRETARY OF AGRICULTURE,,SCATTERING,,0.000000
2006,ADAMS,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,719.000000
2006,ADAMS,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,808.000000
2006,ADAMS,SECRETARY OF STATE,,SCATTERING,,5.000000
2006,ADAMS,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,1233.000000
2006,ADAMS,TREASURER OF STATE,,SCATTERING,,4.000000
2006,ALLAMAKEE,ATTORNEY GENERAL,,SCATTERING,,8.000000
2006,ALLAMAKEE,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,3372.000000
2006,ALLAMAKEE,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,3067.000000
2006,ALLAMAKEE,AUDITOR OF STATE,,SCATTERING,,12.000000
2006,ALLAMAKEE,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,2323.000000
2006,ALLAMAKEE,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,2321.000000
2006,ALLAMAKEE,SECRETARY OF AGRICULTURE,,SCATTERING,,1.000000
2006,ALLAMAKEE,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,2127.000000
2006,ALLAMAKEE,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,2490.000000
2006,ALLAMAKEE,SECRETARY OF STATE,,SCATTERING,,2.000000
2006,ALLAMAKEE,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,3287.000000
2006,ALLAMAKEE,TREASURER OF STATE,,SCATTERING,,9.000000
2006,APPANOOSE,ATTORNEY GENERAL,,SCATTERING,,4.000000
2006,APPANOOSE,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,3230.000000
2006,APPANOOSE,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,2660.000000
2006,APPANOOSE,AUDITOR OF STATE,,SCATTERING,,6.000000
2006,APPANOOSE,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,2308.000000
2006,APPANOOSE,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,2019.000000
2006,APPANOOSE,SECRETARY OF AGRICULTURE,,SCATTERING,,3.000000
2006,APPANOOSE,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,1859.000000
2006,APPANOOSE,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,2369.000000
2006,APPANOOSE,SECRETARY OF STATE,,SCATTERING,,1.000000
2006,APPANOOSE,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,3170.000000
2006,APPANOOSE,TREASURER OF STATE,,SCATTERING,,4.000000
2006,AUDUBON,ATTORNEY GENERAL,,SCATTERING,,5.000000
