year,vtd_id,office,district,candidate,party,votes
2000,19005005014,PRESIDENT,,,SC,0.000000
2000,19005005016,PRESIDENT,,,DEM,0.000006
2000,19005005016,PRESIDENT,,,GREEN,0.000000
2000,19005005016,PRESIDENT,,,REP,0.000010
2000,19005005016,PRESIDENT,,,SC,0.000000
2000,19005005017,PRESIDENT,,,DEM,0.000066
2000,19005005017,PRESIDENT,,,GREEN,0.000005
2000,19005005017,PRESIDENT,,,REP,0.000114
2000,19005005017,PRESIDENT,,,SC,0.000002
2000,19005005018,PRESIDENT,,,DEM,0.000046
2000,19005005018,PRESIDENT,,,GREEN,0.000003
2000,19005005018,PRESIDENT,,,REP,0.000062
2000,19005005018,PRESIDENT,,,SC,0.000002
2000,19005005019,PRESIDENT,,,DEM,0.000037
2000,19005005019,PRESIDENT,,,GREEN,0.000002
2000,19005005019,PRESIDENT,,,REP,0.000050
2000,19005005019,PRESIDENT,,,SC,0.000002
2000,19005005020,PRESIDENT,,,DEM,0.000000
2000,19005005020,PRESIDENT,,,GREEN,0.000000
2000,19005005020,PRESIDENT,,,REP,0.000000
2000,19005005020,PRESIDENT,,,SC,0.000000
2000,19007007001,PRESIDENT,,,DEM,28.130473
2000,19007007001,PRESIDENT,,,GREEN,0.426219
2000,19007007001,PRESIDENT,,,REP,52.424972
2000,19007007001,PRESIDENT,,,SC,0.000000
2000,19007007002,PRESIDENT,,,DEM,22.804740
2000,19007007002,PRESIDENT,,,GREEN,1.293945
2000,19007007002,PRESIDENT,,,REP,33.568511
2000,19007007002,PRESIDENT,,,SC,0.289889
2000,19007007003,PRESIDENT,,,DEM,47.654752
2000,19007007003,PRESIDENT,,,GREEN,2.716971
2000,19007007003,PRESIDENT,,,REP,70.305994
2000,19007007003,PRESIDENT,,,SC,0.602061
2000,19007007004,PRESIDENT,,,DEM,87.545954
2000,19007007004,PRESIDENT,,,GREEN,4.986801
2000,19007007004,PRESIDENT,,,REP,129.102648
2000,19007007004,PRESIDENT,,,SC,1.108174
2000,19007007005,PRESIDENT,,,DEM,6.936617
2000,19007007005,PRESIDENT,,,GREEN,0.572914
2000,19007007005,PRESIDENT,,,REP,12.366358
2000,19007007005,PRESIDENT,,,SC,0.002466
2000,19007007006,PRESIDENT,,,DEM,17.163472
2000,19007007006,PRESIDENT,,,GREEN,1.430289
2000,19007007006,PRESIDENT,,,REP,30.751220
2000,19007007006,PRESIDENT,,,SC,0.000000
2000,19007007007,PRESIDENT,,,DEM,21.666529
2000,19007007007,PRESIDENT,,,GREEN,0.773940
2000,19007007007,PRESIDENT,,,REP,38.688255
2000,19007007007,PRESIDENT,,,SC,0.773657
2000,19007007008,PRESIDENT,,,DEM,59.453792
2000,19007007008,PRESIDENT,,,GREEN,1.266081
2000,19007007008,PRESIDENT,,,REP,61.997344
2000,19007007008,PRESIDENT,,,SC,1.264713
2000,19007007009,PRESIDENT,,,DEM,37.864376
2000,19007007009,PRESIDENT,,,GREEN,0.573703
2000,19007007009,PRESIDENT,,,REP,70.565420
2000,19007007009,PRESIDENT,,,SC,0.000000
2000,19007007010,PRESIDENT,,,DEM,23.980699
2000,19007007010,PRESIDENT,,,GREEN,0.489471
2000,19007007010,PRESIDENT,,,REP,34.257387
2000,19007007010,PRESIDENT,,,SC,0.000012
2000,19007007011,PRESIDENT,,,DEM,61.288474
2000,19007007011,PRESIDENT,,,GREEN,1.250785
2000,19007007011,PRESIDENT,,,REP,87.554957
2000,19007007011,PRESIDENT,,,SC,0.000000
