district,name,total_population,white_vap_pct,black_vap_pct,hispanic_vap_pct,native_vap_pct,asian_vap_pct,pacific_vap_pct,multiracial_vap_pct
1,District 1,42832,72.63,4.34,15.64,1.67,2.5,0.55,0.25
2,District 2,44490,92.94,0.97,4.74,0.2,0.29,0.01,0.04
3,District 3,44133,88.19,1.19,7.34,0.26,1.83,0.47,0.05
4,District 4,48592,91.48,2.54,3.36,0.04,0.42,0.0,0.17
5,District 5,49316,94.82,0.76,2.66,0.08,0.43,0.03,0.06
6,District 6,46309,90.93,0.56,5.77,0.03,0.69,0.04,0.25
7,District 7,46758,90.4,2.44,3.56,0.76,1.13,0.04,0.14
8,District 8,48393,95.38,0.22,2.11,0.08,0.26,0.04,0.24
9,District 9,48634,94.87,1.03,1.9,0.13,0.23,0.08,0.21
10,District 10,47528,87.34,2.3,7.86,0.28,0.58,0.12,0.2
11,District 11,49198,94.75,0.71,2.39,0.05,0.68,0.0,0.16
12,District 12,47953,94.2,0.5,2.96,0.03,0.43,0.03,0.18
13,District 13,45848,91.24,1.18,4.6,0.05,1.03,0.09,0.18
14,District 14,49320,88.24,2.41,4.22,0.07,2.97,0.06,0.36
15,District 15,42978,73.87,5.98,11.23,0.17,6.57,0.11,0.15
16,District 16,47548,85.05,4.13,5.02,0.02,3.31,0.0,0.08
17,District 17,41605,64.8,13.08,12.6,0.06,5.18,0.01,0.8
18,District 18,48647,81.54,8.04,4.43,0.05,3.57,0.01,0.29
19,District 19,48759,95.04,1.26,1.82,0.05,0.47,0.13,0.04
20,District 20,48437,84.15,5.02,5.65,0.11,3.39,0.02,0.34
21,District 21,48159,92.44,2.03,2.55,0.01,2.35,0.01,0.0
22,District 22,45811,86.43,4.95,3.39,0.03,3.88,0.01,0.17
23,District 23,46842,92.7,1.76,3.1,0.04,1.34,0.01,0.09
24,District 24,49044,93.4,0.76,3.89,0.05,0.49,0.05,0.1
25,District 25,52751,84.27,3.09,4.39,0.1,5.04,0.14,0.24
26,District 26,44526,85.31,0.56,10.33,0.25,1.61,0.02,0.24
27,District 27,48292,92.56,0.75,3.19,1.56,0.57,0.0,0.08
28,District 28,45790,93.51,0.56,4.35,0.08,0.43,0.09,0.13
29,District 29,48774,95.25,0.83,1.72,0.11,0.84,0.03,0.14
30,District 30,49118,93.41,1.27,3.49,0.17,0.65,0.02,0.02
31,District 31,45888,75.67,14.53,4.62,0.12,2.3,0.26,0.45
32,District 32,48378,96.77,0.56,1.34,0.17,0.2,0.0,0.16
33,District 33,48300,95.75,1.49,1.65,0.05,0.41,0.09,0.07
34,District 34,48018,96.4,0.34,1.47,0.19,0.32,0.02,0.0
35,District 35,47876,93.5,2.25,2.31,0.06,0.44,0.04,0.17
36,District 36,49353,91.66,3.47,1.72,0.03,0.77,0.14,0.04
37,District 37,47268,90.39,2.74,2.02,0.06,2.3,0.05,0.83
38,District 38,49928,93.61,1.51,1.89,0.02,1.36,0.03,0.15
39,District 39,48610,83.94,7.64,4.03,0.08,0.81,0.03,0.33
40,District 40,48495,85.56,4.71,3.9,0.05,2.8,0.0,0.34
41,District 41,48161,85.24,5.51,6.45,0.05,1.25,0.01,0.16
42,District 42,47716,96.93,0.52,1.07,0.07,0.41,0.0,0.14
43,District 43,47328,82.23,5.8,4.3,0.13,4.76,0.04,0.49
44,District 44,47894,92.77,1.63,2.84,0.08,0.79,0.05,0.18
45,District 45,52873,79.59,6.42,6.63,0.01,4.24,0.02,0.17
46,District 46,47938,92.7,1.38,3.54,0.11,0.87,0.0,0.01
47,District 47,46431,88.46,2.3,4.06,0.05,3.19,0.04,0.55
48,District 48,46231,87.29,1.47,8.93,0.08,0.41,0.01,0.04
49,District 49,49311,77.64,9.16,7.74,0.24,1.35,0.08,0.48
50,District 50,48561,90.58,3.86,2.65,0.2,0.46,0.03,0.39
