office,district,candidate,party,reporting_level,jurisdiction,votes
Iowa Senate,39,STEVE SHELLEY,Democratic,county,ADAIR,390
Iowa Senate,39,STEVE SHELLEY,Democratic,county,DALLAS,418
Iowa Senate,39,STEVE SHELLEY,Democratic,county,GUTHRIE,362
Iowa Senate,39,STEVE SHELLEY,Democratic,county,MADISON,263
Iowa Senate,39,STEVE SHELLEY,Democratic,state,Iowa,1433
Iowa Senate,39,DAVID G. LORD,Republican,county,ADAIR,563
Iowa Senate,39,DAVID G. LORD,Republican,county,DALLAS,1528
Iowa Senate,39,DAVID G. LORD,Republican,county,GUTHRIE,691
Iowa Senate,39,DAVID G. LORD,Republican,county,MADISON,693
Iowa Senate,39,DAVID G. LORD,Republican,state,Iowa,3475
Iowa Senate,39,Scattering,,county,ADAIR,3
Iowa Senate,39,Scattering,,county,DALLAS,6
Iowa Senate,39,Scattering,,county,GUTHRIE,4
Iowa Senate,39,Scattering,,county,MADISON,0
Iowa Senate,39,Scattering,,state,Iowa,13
Iowa Senate,39,Totals,,county,ADAIR,956
Iowa Senate,39,Totals,,county,DALLAS,1952
Iowa Senate,39,Totals,,county,GUTHRIE,1057
Iowa Senate,39,Totals,,county,MADISON,956
Iowa Senate,39,Totals,,state,Iowa,4921
