block_id,population,vintage,source
190019601002131,2,2010,data\census\ia2010.sf1.zip
190019601002189,2,2010,data\census\ia2010.sf1.zip
190019601002190,1,2010,data\census\ia2010.sf1.zip
190019601002191,2,2010,data\census\ia2010.sf1.zip
190019601002192,4,2010,data\census\ia2010.sf1.zip
190019601002193,6,2010,data\census\ia2010.sf1.zip
190019601002194,2,2010,data\census\ia2010.sf1.zip
190019601002195,2,2010,data\census\ia2010.sf1.zip
190019601002196,4,2010,data\census\ia2010.sf1.zip
190019601002197,0,2010,data\census\ia2010.sf1.zip
190019601002198,1,2010,data\census\ia2010.sf1.zip
190019601002199,0,2010,data\census\ia2010.sf1.zip
190019601002200,2,2010,data\census\ia2010.sf1.zip
190019601002201,0,2010,data\census\ia2010.sf1.zip
190019601002202,0,2010,data\census\ia2010.sf1.zip
190019601002203,0,2010,data\census\ia2010.sf1.zip
190019601002204,8,2010,data\census\ia2010.sf1.zip
190019601002205,7,2010,data\census\ia2010.sf1.zip
190019601002206,0,2010,data\census\ia2010.sf1.zip
190019601002207,5,2010,data\census\ia2010.sf1.zip
190019601002208,0,2010,data\census\ia2010.sf1.zip
190019601002209,2,2010,data\census\ia2010.sf1.zip
190019601002210,2,2010,data\census\ia2010.sf1.zip
190019601002211,0,2010,data\census\ia2010.sf1.zip
190019601002212,0,2010,data\census\ia2010.sf1.zip
190019601002213,0,2010,data\census\ia2010.sf1.zip
190019601002214,0,2010,data\census\ia2010.sf1.zip
190019601002215,0,2010,data\census\ia2010.sf1.zip
190019601002216,1,2010,data\census\ia2010.sf1.zip
190019601002217,1,2010,data\census\ia2010.sf1.zip
190019601002218,1,2010,data\census\ia2010.sf1.zip
190019601002219,0,2010,data\census\ia2010.sf1.zip
190019601002220,2,2010,data\census\ia2010.sf1.zip
190019601002221,0,2010,data\census\ia2010.sf1.zip
190019601002222,1,2010,data\census\ia2010.sf1.zip
190019601002226,0,2010,data\census\ia2010.sf1.zip
190019601002227,0,2010,data\census\ia2010.sf1.zip
190019601002228,2,2010,data\census\ia2010.sf1.zip
190019601002229,4,2010,data\census\ia2010.sf1.zip
190019601002230,0,2010,data\census\ia2010.sf1.zip
190019601002231,2,2010,data\census\ia2010.sf1.zip
190019601002232,0,2010,data\census\ia2010.sf1.zip
190019601002233,2,2010,data\census\ia2010.sf1.zip
190019601002234,0,2010,data\census\ia2010.sf1.zip
190019601002235,0,2010,data\census\ia2010.sf1.zip
190019601002236,0,2010,data\census\ia2010.sf1.zip
190019601002237,5,2010,data\census\ia2010.sf1.zip
190019601002238,0,2010,data\census\ia2010.sf1.zip
190019601002239,0,2010,data\census\ia2010.sf1.zip
190019601002240,0,2010,data\census\ia2010.sf1.zip
190019601002241,2,2010,data\census\ia2010.sf1.zip
190019601002242,4,2010,data\census\ia2010.sf1.zip
190019601002243,1,2010,data\census\ia2010.sf1.zip
190019601002244,0,2010,data\census\ia2010.sf1.zip
190019601002245,6,2010,data\census\ia2010.sf1.zip
190019601002256,2,2010,data\census\ia2010.sf1.zip
190019602001017,6,2010,data\census\ia2010.sf1.zip
190019602001018,4,2010,data\census\ia2010.sf1.zip
190019602001019,6,2010,data\census\ia2010.sf1.zip
190019602001020,3,2010,data\census\ia2010.sf1.zip
190019602001021,3,2010,data\census\ia2010.sf1.zip
190019602001022,0,2010,data\census\ia2010.sf1.zip
190019602001023,15,2010,data\census\ia2010.sf1.zip
190019602001024,0,2010,data\census\ia2010.sf1.zip
190019602001025,5,2010,data\census\ia2010.sf1.zip
190019602001026,2,2010,data\census\ia2010.sf1.zip
190019602001027,4,2010,data\census\ia2010.sf1.zip
190019602001028,0,2010,data\census\ia2010.sf1.zip
190019602001029,0,2010,data\census\ia2010.sf1.zip
190019602001030,0,2010,data\census\ia2010.sf1.zip
190019602001031,0,2010,data\census\ia2010.sf1.zip
190019602001032,11,2010,data\census\ia2010.sf1.zip
190019602001033,2,2010,data\census\ia2010.sf1.zip
190019602001034,0,2010,data\census\ia2010.sf1.zip
190019602001035,0,2010,data\census\ia2010.sf1.zip
190019602001036,0,2010,data\census\ia2010.sf1.zip
190019602001039,0,2010,data\census\ia2010.sf1.zip
