block_id,population,vintage,source
190019601001000,9,2000,data\census\ia00001_uf1.zip
190019601001001,0,2000,data\census\ia00001_uf1.zip
190019601001002,0,2000,data\census\ia00001_uf1.zip
190019601001003,0,2000,data\census\ia00001_uf1.zip
190019601001004,0,2000,data\census\ia00001_uf1.zip
190019601001005,3,2000,data\census\ia00001_uf1.zip
190019601001006,2,2000,data\census\ia00001_uf1.zip
190019601001007,6,2000,data\census\ia00001_uf1.zip
190019601001008,0,2000,data\census\ia00001_uf1.zip
190019601001009,0,2000,data\census\ia00001_uf1.zip
190019601001010,0,2000,data\census\ia00001_uf1.zip
190019601001011,0,2000,data\census\ia00001_uf1.zip
190019601001012,7,2000,data\census\ia00001_uf1.zip
190019601001013,9,2000,data\census\ia00001_uf1.zip
190019601001014,0,2000,data\census\ia00001_uf1.zip
190019601001015,3,2000,data\census\ia00001_uf1.zip
190019601001016,0,2000,data\census\ia00001_uf1.zip
190019601001017,2,2000,data\census\ia00001_uf1.zip
190019601001018,4,2000,data\census\ia00001_uf1.zip
190019601001019,0,2000,data\census\ia00001_uf1.zip
190019601001020,2,2000,data\census\ia00001_uf1.zip
190019601001021,2,2000,data\census\ia00001_uf1.zip
190019601001022,0,2000,data\census\ia00001_uf1.zip
190019601001023,0,2000,data\census\ia00001_uf1.zip
190019601001024,17,2000,data\census\ia00001_uf1.zip
190019601001025,60,2000,data\census\ia00001_uf1.zip
190019601001026,9,2000,data\census\ia00001_uf1.zip
190019601001027,0,2000,data\census\ia00001_uf1.zip
190019601001028,0,2000,data\census\ia00001_uf1.zip
190019601001029,0,2000,data\census\ia00001_uf1.zip
190019601001030,9,2000,data\census\ia00001_uf1.zip
190019601001031,0,2000,data\census\ia00001_uf1.zip
190019601001032,10,2000,data\census\ia00001_uf1.zip
190019601001033,13,2000,data\census\ia00001_uf1.zip
190019601001034,10,2000,data\census\ia00001_uf1.zip
190019601001035,8,2000,data\census\ia00001_uf1.zip
190019601001036,11,2000,data\census\ia00001_uf1.zip
190019601001037,33,2000,data\census\ia00001_uf1.zip
190019601001038,3,2000,data\census\ia00001_uf1.zip
190019601001039,0,2000,data\census\ia00001_uf1.zip
190019601001040,3,2000,data\census\ia00001_uf1.zip
190019601001041,18,2000,data\census\ia00001_uf1.zip
190019601001042,15,2000,data\census\ia00001_uf1.zip
190019601001043,12,2000,data\census\ia00001_uf1.zip
190019601001044,21,2000,data\census\ia00001_uf1.zip
190019601001045,13,2000,data\census\ia00001_uf1.zip
190019601001046,13,2000,data\census\ia00001_uf1.zip
190019601001047,16,2000,data\census\ia00001_uf1.zip
190019601001048,17,2000,data\census\ia00001_uf1.zip
190019601001049,20,2000,data\census\ia00001_uf1.zip
190019601001050,11,2000,data\census\ia00001_uf1.zip
190019601001051,30,2000,data\census\ia00001_uf1.zip
190019601001052,22,2000,data\census\ia00001_uf1.zip
190019601001053,15,2000,data\census\ia00001_uf1.zip
190019601001054,21,2000,data\census\ia00001_uf1.zip
190019601001055,11,2000,data\census\ia00001_uf1.zip
190019601001056,13,2000,data\census\ia00001_uf1.zip
190019601001057,14,2000,data\census\ia00001_uf1.zip
190019601001058,45,2000,data\census\ia00001_uf1.zip
190019601001059,2,2000,data\census\ia00001_uf1.zip
190019601001060,126,2000,data\census\ia00001_uf1.zip
190019601001061,0,2000,data\census\ia00001_uf1.zip
190019601001062,6,2000,data\census\ia00001_uf1.zip
190019601001063,4,2000,data\census\ia00001_uf1.zip
190019601001064,17,2000,data\census\ia00001_uf1.zip
190019601001065,5,2000,data\census\ia00001_uf1.zip
190019601001066,0,2000,data\census\ia00001_uf1.zip
190019601001067,0,2000,data\census\ia00001_uf1.zip
190019601001068,0,2000,data\census\ia00001_uf1.zip
190019601001069,0,2000,data\census\ia00001_uf1.zip
190019601001070,0,2000,data\census\ia00001_uf1.zip
190019601001071,0,2000,data\census\ia00001_uf1.zip
190019601001072,0,2000,data\census\ia00001_uf1.zip
190019601001073,2,2000,data\census\ia00001_uf1.zip
190019601001074,0,2000,data\census\ia00001_uf1.zip
190019601001075,6,2000,data\census\ia00001_uf1.zip
190019601001076,0,2000,data\census\ia00001_uf1.zip
190019601001077,7,2000,data\census\ia00001_uf1.zip
190019601001078,2,2000,data\census\ia00001_uf1.zip
190019601001079,0,2000,data\census\ia00001_uf1.zip
190019601001080,4,2000,data\census\ia00001_uf1.zip
190019601001081,0,2000,data\census\ia00001_uf1.zip
