year,plan2_district,office,district,candidate,party,votes
2016,13,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,24.782493
2016,13,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,52.782604
2016,13,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,9449.805460
2016,13,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,53.782493
2016,13,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,346.607670
2016,13,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000037
2016,13,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,3648.558903
2016,13,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,83.000037
2016,13,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,17.999999
2016,13,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,3.000037
2016,13,PRESIDENT,,WRITE IN,OTH,84.565245
2016,13,U S SENATE,,CHARLES ALDRICH,LIB,281.172770
2016,13,U S SENATE,,CHARLES E GRASSLEY,REP,9283.500167
2016,13,U S SENATE,,JIM HENNAGER,OTH,179.347580
2016,13,U S SENATE,,MICHAEL LUICK THRAMS,OTH,28.000075
2016,13,U S SENATE,,PATTY JUDGE,DEM,3775.169247
2016,13,U S SENATE,,WRITE IN,OTH,10.347477
2016,14,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.463668
2016,14,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,75.719744
2016,14,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,11540.227383
2016,14,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,358.904260
2016,14,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1129.062835
2016,14,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.007386
2016,14,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,9712.880392
2016,14,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,111.943126
2016,14,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,13.634111
2016,14,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,10.325222
2016,14,PRESIDENT,,WRITE IN,OTH,350.560704
2016,14,U S SENATE,,CHARLES ALDRICH,LIB,627.199720
2016,14,U S SENATE,,CHARLES E GRASSLEY,REP,14931.788466
2016,14,U S SENATE,,JIM HENNAGER,OTH,171.257554
2016,14,U S SENATE,,MICHAEL LUICK THRAMS,OTH,59.661114
2016,14,U S SENATE,,PATTY JUDGE,DEM,7207.776765
2016,14,U S SENATE,,WRITE IN,OTH,20.978369
2016,15,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,32.064000
2016,15,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,69.806964
2016,15,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8848.173036
2016,15,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,130.597817
2016,15,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1012.428989
2016,15,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.826655
2016,15,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,13982.431661
2016,15,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,201.703190
2016,15,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,25.884385
2016,15,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,15.998218
2016,15,PRESIDENT,,WRITE IN,OTH,258.899835
2016,15,U S SENATE,,CHARLES ALDRICH,LIB,807.359590
2016,15,U S SENATE,,CHARLES E GRASSLEY,REP,10871.824690
2016,15,U S SENATE,,JIM HENNAGER,OTH,300.275267
2016,15,U S SENATE,,MICHAEL LUICK THRAMS,OTH,97.163980
2016,15,U S SENATE,,PATTY JUDGE,DEM,12078.762156
2016,15,U S SENATE,,WRITE IN,OTH,51.452239
2016,16,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,8.595051
2016,16,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,32.686955
2016,16,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,4286.244578
2016,16,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,126.785892
2016,16,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,404.810737
2016,16,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.004419
2016,16,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,5313.269104
2016,16,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,68.182464
2016,16,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,8.258595
2016,16,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,2.641394
2016,16,PRESIDENT,,WRITE IN,OTH,153.158986
2016,16,U S SENATE,,CHARLES ALDRICH,LIB,233.012792
2016,16,U S SENATE,,CHARLES E GRASSLEY,REP,5663.936814
2016,16,U S SENATE,,JIM HENNAGER,OTH,67.500998
2016,16,U S SENATE,,MICHAEL LUICK THRAMS,OTH,26.476593
2016,16,U S SENATE,,PATTY JUDGE,DEM,4294.538360
2016,16,U S SENATE,,WRITE IN,OTH,11.944591
2016,17,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,27.621036
2016,17,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,56.229530
