source_precinct_id,source_county,source_precinct,target_district,target_name,share,method
ADAIR - 1NW ADAIR,Adair,1NW Adair,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAIR - 2NE STUART,Adair,2NE Stuart,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAIR - 3SW FONTANELLE,Adair,3SW Fontanelle,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAIR - 4SE ORIENT,Adair,4SE Orient,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAIR - 5GF GREENFIELD,Adair,5GF Greenfield,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 1,Adams,Adams 1,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 2,Adams,Adams 2,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 3,Adams,Adams 3,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 4,Adams,Adams 4,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ADAMS - ADAMS 5,Adams,Adams 5,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 01 - WL/HV,Allamakee,Pct 01 - WL/HV,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 02 - FC/JF/LL/MK/UP,Allamakee,Pct 02 - FC/JF/LL/MK/UP,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 03 - PO/FK,Allamakee,Pct 03 - PO/FK,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 04 - PV CITY,Allamakee,Pct 04 - PV City,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 05 - LT/PC/WV CITY,Allamakee,Pct 05 - LT/PC/WV City,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 06 - FV/TL/HF CITY,Allamakee,Pct 06 - FV/TL/HF City,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 07 - CN/LF/LS/LS CITY,Allamakee,Pct 07 - CN/LF/LS/LS City,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 08 - IA/UC/NA CITY,Allamakee,Pct 08 - IA/UC/NA City,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 09 - WAUKON 1,Allamakee,Pct 09 - Waukon 1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 10 - WAUKON 2,Allamakee,Pct 10 - Waukon 2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
ALLAMAKEE - PCT 11 - WAUKON 3,Allamakee,Pct 11 - Waukon 3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - BELLAIR/LINCOLN,Appanoose,Bellair/Lincoln,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - CALDWELL TOWNSHIP,Appanoose,Caldwell Township,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - CENTERVILLE WARD 1,Appanoose,Centerville Ward 1,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - CENTERVILLE WARD 2,Appanoose,Centerville Ward 2,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - CENTERVILLE WARD 3,Appanoose,Centerville Ward 3,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - JOHNS/INDEPENDENCE,Appanoose,Johns/Independence,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - PLEASANT/FRANKLIN,Appanoose,Pleasant/Franklin,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - TAYLOR/CHARITON,Appanoose,Taylor/Chariton,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - UNION/UDELL TOWNSHIP,Appanoose,Union/Udell Township,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - VERMILLION/DOUGLAS/SHARON,Appanoose,Vermillion/Douglas/Sharon,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - WALNUT,Appanoose,Walnut,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
APPANOOSE - WASHINGTON/WELLS,Appanoose,Washington/Wells,3,3|-0.01%,1.000000000000,vtd20_to_plan2_composed
AUDUBON - PRECINCT 1,Audubon,Precinct 1,3,3|-0.01%,0.000000000173,vtd20_to_plan2_composed
AUDUBON - PRECINCT 1,Audubon,Precinct 1,4,4|0.01%,0.999999999827,vtd20_to_plan2_composed
AUDUBON - PRECINCT 2,Audubon,Precinct 2,3,3|-0.01%,0.000000070652,vtd20_to_plan2_composed
AUDUBON - PRECINCT 2,Audubon,Precinct 2,4,4|0.01%,0.999999929348,vtd20_to_plan2_composed
BENTON - BELLE PLAINE 1,Benton,Belle Plaine 1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - BELLE PLAINE 2,Benton,Belle Plaine 2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - BELLE PLAINE 3,Benton,Belle Plaine 3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - BENTON-CANTON-SHELLSBURG,Benton,Benton-Canton-Shellsburg,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - BIG GROVE-UNION-VAN HORNE,Benton,Big Grove-Union-Van Horne,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - BRUCE-CEDAR-MT AUBURN,Benton,Bruce-Cedar-Mt Auburn,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - EDEN-HARRISON-TAYLOR,Benton,Eden-Harrison-Taylor,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - ELDORADO-NEWHALL,Benton,Eldorado-Newhall,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - FLORENCE-ST CLAIR-NORWAY,Benton,Florence-St Clair-Norway,1,1|-0%,0.000000006697,vtd20_to_plan2_composed
BENTON - FLORENCE-ST CLAIR-NORWAY,Benton,Florence-St Clair-Norway,2,2|-0%,0.999999993303,vtd20_to_plan2_composed
BENTON - FREMONT-ATKINS,Benton,Fremont-Atkins,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - HOMER-MONROE-JACKSON-GARRISON,Benton,Homer-Monroe-Jackson-Garrison,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - IOWA-LEROY-LUZERNE-BLAIRSTOWN,Benton,Iowa-Leroy-Luzerne-Blairstown,1,1|-0%,0.000000000899,vtd20_to_plan2_composed
BENTON - IOWA-LEROY-LUZERNE-BLAIRSTOWN,Benton,Iowa-Leroy-Luzerne-Blairstown,2,2|-0%,0.999999999101,vtd20_to_plan2_composed
BENTON - KANE-KEYSTONE,Benton,Kane-Keystone,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - POLK-URBANA,Benton,Polk-Urbana,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - VINTON 1,Benton,Vinton 1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - VINTON 2,Benton,Vinton 2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - VINTON 3,Benton,Vinton 3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - VINTON 4,Benton,Vinton 4,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BENTON - WALFORD,Benton,Walford,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - BARCLAY LESTER DUNKERTON,Black Hawk,Barclay Lester Dunkerton,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - BENNINGTON,Black Hawk,Bennington,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - BIG CREEK LA PORTE,Black Hawk,Big Creek La Porte,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - BLACK HAWK HUDSON LINCOLN,Black Hawk,Black Hawk Hudson Lincoln,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CEDAR ORANGE,Black Hawk,Cedar Orange,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P1,Black Hawk,CF W1 P1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P2,Black Hawk,CF W1 P2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W1 P3,Black Hawk,CF W1 P3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P1,Black Hawk,CF W2 P1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P2 & CF TWP,Black Hawk,CF W2 P2 & CF Twp,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W2 P3,Black Hawk,CF W2 P3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P1,Black Hawk,CF W3 P1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P2,Black Hawk,CF W3 P2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W3 P3,Black Hawk,CF W3 P3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P1,Black Hawk,CF W4 P1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P2,Black Hawk,CF W4 P2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W4 P3,Black Hawk,CF W4 P3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W5 P1,Black Hawk,CF W5 P1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W5 P2,Black Hawk,CF W5 P2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - CF W5 P3,Black Hawk,CF W5 P3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - EAGLE,Black Hawk,Eagle,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - ELK RUN HEIGHTS & RAYMOND,Black Hawk,Elk Run Heights & Raymond,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - EVANSDALE W1,Black Hawk,Evansdale W1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - EVANSDALE W2,Black Hawk,Evansdale W2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - EVANSDALE W3,Black Hawk,Evansdale W3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - EVANSDALE W4,Black Hawk,Evansdale W4,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - MT VERNON,Black Hawk,Mt Vernon,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - POYNER P1 & EAST WLOO,Black Hawk,Poyner P1 & East Wloo,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - POYNER P2 FOX GILBERT JESUP,Black Hawk,Poyner P2 Fox Gilbert Jesup,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - SPRING CREEK,Black Hawk,Spring Creek,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - UNION,Black Hawk,Union,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WASHINGTON JANESVILLE,Black Hawk,Washington Janesville,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 1-1,Black Hawk,WL 1-1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 1-2,Black Hawk,WL 1-2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 1-3,Black Hawk,WL 1-3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 1-4,Black Hawk,WL 1-4,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 1-5,Black Hawk,WL 1-5,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 1-6,Black Hawk,WL 1-6,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 2-1,Black Hawk,WL 2-1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 2-2,Black Hawk,WL 2-2,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 2-3,Black Hawk,WL 2-3,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 2-4,Black Hawk,WL 2-4,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 2-5,Black Hawk,WL 2-5,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 2-6,Black Hawk,WL 2-6,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
BLACK HAWK - WL 3-1,Black Hawk,WL 3-1,2,2|-0%,1.000000000000,vtd20_to_plan2_composed
