source_precinct_id,source_county,source_precinct,target_vtd,share,method
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19041041002,0.000000000062,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059009,0.000000000007,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059010,0.000000000234,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059014,0.000191791909,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059015,0.000000000000,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059016,0.003585525384,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059018,0.000000000000,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059019,0.096421097864,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059020,0.033165446028,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059021,0.866636138511,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19041041001,0.000000000625,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19041041002,0.000000001935,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059010,0.000000000079,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059017,0.000000008152,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059018,0.784883558985,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059019,0.215116372528,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19141141005,0.000000000000,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19143143005,0.000000000000,population_weighted_block_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19143143014,0.000000057697,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041003,0.000000000466,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041004,0.362264149559,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041005,0.362264148390,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041006,0.275471697667,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041007,0.000000000710,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041014,0.000000000000,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041015,0.000000000220,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19059059012,0.000000001014,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19059059020,0.000000000000,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19063063009,0.000000000000,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19147147001,0.000000000397,population_weighted_block_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19147147009,0.000000001577,population_weighted_block_intersection
