source_id,target_plan2_district,share,chamber,chain
190019601001000,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001001,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001002,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001003,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001004,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001005,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001006,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001007,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001008,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001009,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001010,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001011,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001012,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001013,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001014,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001015,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001016,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001017,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001018,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001019,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001020,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001021,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001022,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001023,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001024,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001025,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001026,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001027,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001028,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001029,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001030,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001031,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001032,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001033,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001034,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001035,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001036,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001037,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001038,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001039,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001040,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001041,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001042,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001043,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001044,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001045,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001046,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001047,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001048,23,1.000000000000,house,block10_to_block20_to_plan2
190019601001049,23,1.000000000000,house,block10_to_block20_to_plan2
