source_precinct_id,source_county,source_precinct,source_precinct_aliases,source_population,target_vtd,share,method
DICKINSON - DICKINSON6,Dickinson,DICKINSON6,Dickinson 6|PCT 06|Precinct 06|TERRIL MEMORIAL BLDG-EAST RM,576.000000,19059059012,1.000000000000,population_weighted_block_intersection
DICKINSON - DICKINSON7,Dickinson,DICKINSON7,Dickinson 7|PCT 07|Precinct 07|TERRIL MEMORIAL BLDG-WEST RM,212.000000,19059059020,0.997442972854,population_weighted_block_intersection
DICKINSON - DICKINSON7,Dickinson,DICKINSON7,Dickinson 7|PCT 07|Precinct 07|TERRIL MEMORIAL BLDG-WEST RM,212.000000,19059059021,0.002557027145,population_weighted_block_intersection
DICKINSON - DICKINSON8,Dickinson,DICKINSON8,Dickinson 8|PCT 08|Precinct 08|MILFORD COMM BLDG-EAST ROOM,3366.000264,19059059009,0.000000922640,population_weighted_block_intersection
DICKINSON - DICKINSON8,Dickinson,DICKINSON8,Dickinson 8|PCT 08|Precinct 08|MILFORD COMM BLDG-EAST ROOM,3366.000264,19059059014,0.001217143540,population_weighted_block_intersection
DICKINSON - DICKINSON8,Dickinson,DICKINSON8,Dickinson 8|PCT 08|Precinct 08|MILFORD COMM BLDG-EAST ROOM,3366.000264,19059059016,0.000111098035,population_weighted_block_intersection
DICKINSON - DICKINSON8,Dickinson,DICKINSON8,Dickinson 8|PCT 08|Precinct 08|MILFORD COMM BLDG-EAST ROOM,3366.000264,19059059018,0.000000007809,population_weighted_block_intersection
DICKINSON - DICKINSON8,Dickinson,DICKINSON8,Dickinson 8|PCT 08|Precinct 08|MILFORD COMM BLDG-EAST ROOM,3366.000264,19059059019,0.113066460229,population_weighted_block_intersection
DICKINSON - DICKINSON8,Dickinson,DICKINSON8,Dickinson 8|PCT 08|Precinct 08|MILFORD COMM BLDG-EAST ROOM,3366.000264,19059059020,0.099268827727,population_weighted_block_intersection
DICKINSON - DICKINSON8,Dickinson,DICKINSON8,Dickinson 8|PCT 08|Precinct 08|MILFORD COMM BLDG-EAST ROOM,3366.000264,19059059021,0.786335540019,population_weighted_block_intersection
DICKINSON - DICKINSON9,Dickinson,DICKINSON9,Dicksinon 9|PCT 09|Precinct 09|MILFORD COMM BLDG-EAST ROOM,161.999985,19041041001,0.000000000424,population_weighted_block_intersection
