source_vtd,target_vtd,source_county_fips,target_county_fips,source_name,target_name,share,source_vintage,target_vintage,method
19081081003,19081081003,081,081,MADISON TWP PART W/O FOREST CITY Voting District,MADISON TWP PART W/O FOREST CITY Voting District,0.999836651893,10,20,equal_area_intersection
19081081003,19081081005,081,081,MADISON TWP PART W/O FOREST CITY Voting District,FOREST CITY IN HANCOCK COUNTY W/MADISON TWP PART Voting District,0.000163275284,10,20,equal_area_intersection
19081081003,19081081004,081,081,MADISON TWP PART W/O FOREST CITY Voting District,ELLINGTON TWP W/O FOREST CITY Voting District,0.000000072823,10,20,equal_area_intersection
19081081002,19081081009,081,081,CRYSTAL TWP Voting District,BRITT TWP Voting District,0.000000025678,10,20,equal_area_intersection
19081081002,19081081002,081,081,CRYSTAL TWP Voting District,CRYSTAL TWP Voting District,0.999999971620,10,20,equal_area_intersection
19081081014,19081081014,081,081,ELL TWP W/O GARNER Voting District,ELL TWP W/O GARNER Voting District,0.999881358368,10,20,equal_area_intersection
19081081014,19081081007,081,081,ELL TWP W/O GARNER Voting District,GARNER W/CONCORD TWP PART Voting District,0.000118631984,10,20,equal_area_intersection
19081081019,19109109034,081,109,MAGOR TWP W/O CORWITH Voting District,LU VERNE TWP W/O LU VERNE Voting District,0.000000135226,10,20,equal_area_intersection
19081081019,19081081019,081,081,MAGOR TWP W/O CORWITH Voting District,MAGOR TWP W/O CORWITH Voting District,0.999969484538,10,20,equal_area_intersection
19081081019,19081081020,081,081,MAGOR TWP W/O CORWITH Voting District,CORWITH Voting District,0.000030380236,10,20,equal_area_intersection
19081081013,19081081012,081,081,LIBERTY TWP Voting District,ERIN TWP Voting District,0.000000010149,10,20,equal_area_intersection
19081081013,19081081013,081,081,LIBERTY TWP Voting District,LIBERTY TWP Voting District,0.999999941845,10,20,equal_area_intersection
19081081013,19081081008,081,081,LIBERTY TWP Voting District,GARFIELD TWP Voting District,0.000000048006,10,20,equal_area_intersection
19081081012,19081081012,081,081,ERIN TWP Voting District,ERIN TWP Voting District,1.000000000000,10,20,equal_area_intersection
19081081018,19081081018,081,081,AMSTERDAM TWP Voting District,AMSTERDAM TWP Voting District,1.000000000000,10,20,equal_area_intersection
19081081017,19081081017,081,081,GOODELL Voting District,GOODELL Voting District,0.990318822064,10,20,equal_area_intersection
19081081017,19081081016,081,081,GOODELL Voting District,TWIN LAKE TWP W/O GOODELL Voting District,0.001246503588,10,20,equal_area_intersection
19081081017,19081081015,081,081,GOODELL Voting District,AVERY TWP W/O GOODELL Voting District,0.008434674348,10,20,equal_area_intersection
19081081016,19081081017,081,081,TWIN LAKE TWP W/O GOODELL Voting District,GOODELL Voting District,0.000092316901,10,20,equal_area_intersection
19081081016,19081081016,081,081,TWIN LAKE TWP W/O GOODELL Voting District,TWIN LAKE TWP W/O GOODELL Voting District,0.999907636625,10,20,equal_area_intersection
19081081016,19081081013,081,081,TWIN LAKE TWP W/O GOODELL Voting District,LIBERTY TWP Voting District,0.000000046474,10,20,equal_area_intersection
19081081011,19081081020,081,081,BOONE TWP W/O CORWITH Voting District,CORWITH Voting District,0.000115440217,10,20,equal_area_intersection
19081081011,19081081011,081,081,BOONE TWP W/O CORWITH Voting District,BOONE TWP W/O CORWITH Voting District,0.999884359068,10,20,equal_area_intersection
19081081011,19081081010,081,081,BOONE TWP W/O CORWITH Voting District,ORTHEL TWP Voting District,0.000000200715,10,20,equal_area_intersection
19081081010,19081081010,081,081,ORTHEL TWP Voting District,ORTHEL TWP Voting District,1.000000000000,10,20,equal_area_intersection
19081081001,19081081010,081,081,BINGHAM TWP Voting District,ORTHEL TWP Voting District,0.000000045817,10,20,equal_area_intersection
19081081001,19081081001,081,081,BINGHAM TWP Voting District,BINGHAM TWP Voting District,0.999999940460,10,20,equal_area_intersection
19081081001,19189189011,081,189,BINGHAM TWP Voting District,GRANT TWP Voting District,0.000000013724,10,20,equal_area_intersection
19081081020,19081081019,081,081,CORWITH Voting District,MAGOR TWP W/O CORWITH Voting District,0.008924893371,10,20,equal_area_intersection
19081081020,19081081020,081,081,CORWITH Voting District,CORWITH Voting District,0.976821793728,10,20,equal_area_intersection
19081081020,19081081011,081,081,CORWITH Voting District,BOONE TWP W/O CORWITH Voting District,0.014253312901,10,20,equal_area_intersection
19081081015,19081081017,081,081,AVERY TWP W/O GOODELL Voting District,GOODELL Voting District,0.000134823283,10,20,equal_area_intersection
