source_vtd,target_plan2_district,share,chamber,chain
19009009012,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19009009012,9,0.000000000000,senate,vtd20_to_block20_to_plan2
19009009013,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19009009014,6,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011001,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011002,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011002,42,0.000000000000,senate,vtd20_to_block20_to_plan2
19011011003,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011004,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011005,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011006,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011007,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011008,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011009,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011010,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011011,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011012,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011013,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011014,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011015,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011016,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011017,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011018,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011019,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011020,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011021,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011022,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19011011023,42,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013001,27,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013002,27,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013002,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013002,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013003,27,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013004,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013004,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013005,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013006,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013007,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013008,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013009,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013009,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013009,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013010,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013010,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013011,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013012,34,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013013,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013013,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013014,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013014,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013015,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013015,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013016,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013016,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013017,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013018,27,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013018,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013019,27,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013019,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013020,27,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013020,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013021,27,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013021,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013022,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013022,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013023,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013024,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013025,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013026,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013027,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013027,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013028,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013029,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013030,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013031,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013031,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013032,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013033,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013034,31,0.000000000001,senate,vtd20_to_block20_to_plan2
19013013034,38,0.999999999998,senate,vtd20_to_block20_to_plan2
19013013035,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013036,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013037,34,0.000000000001,senate,vtd20_to_block20_to_plan2
19013013037,38,0.999999999999,senate,vtd20_to_block20_to_plan2
19013013038,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013038,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013038,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013039,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013040,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013041,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013042,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013042,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013043,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013044,31,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013044,38,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013045,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013046,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013047,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013048,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013048,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013049,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013049,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013050,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013050,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013051,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013051,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013051,38,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013052,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013052,34,0.000000000000,senate,vtd20_to_block20_to_plan2
19013013053,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013054,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013055,31,1.000000000000,senate,vtd20_to_block20_to_plan2
19013013056,31,1.000000000000,senate,vtd20_to_block20_to_plan2
