source_precinct_id,source_county,source_precinct,source_precinct_aliases,target_vtd,share,method
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19041041002,0.000000000034,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059009,0.000000922688,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059010,0.000000000056,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059014,0.001217144865,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059016,0.000111099948,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059018,0.000000007809,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059019,0.113066459880,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059020,0.099268827660,population_weighted_block_intersection
DICKINSON - DICKINSON 8,Dickinson,Dickinson 8,DICKINSON8,19059059021,0.786335537060,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19041041001,0.000000000839,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19041041002,0.000000000626,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19059059010,0.000000000098,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19059059016,0.000138047106,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19059059017,0.000000018863,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19059059018,0.679012284622,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19059059019,0.320440216308,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19059059021,0.000409431186,population_weighted_block_intersection
DICKINSON - DICKSINON 9,Dickinson,Dicksinon 9,DICKINSON9,19143143014,0.000000000352,population_weighted_block_intersection
CLAY - LAKE/FREEMAN,Clay,Lake/Freeman,LAFR,19041041003,0.000000000254,population_weighted_block_intersection
CLAY - LAKE/FREEMAN,Clay,Lake/Freeman,LAFR,19041041004,0.328836424590,population_weighted_block_intersection
CLAY - LAKE/FREEMAN,Clay,Lake/Freeman,LAFR,19041041005,0.363318424084,population_weighted_block_intersection
CLAY - LAKE/FREEMAN,Clay,Lake/Freeman,LAFR,19041041006,0.307845147279,population_weighted_block_intersection
CLAY - LAKE/FREEMAN,Clay,Lake/Freeman,LAFR,19041041007,0.000000000725,population_weighted_block_intersection
CLAY - LAKE/FREEMAN,Clay,Lake/Freeman,LAFR,19041041009,0.000000000002,population_weighted_block_intersection
CLAY - LAKE/FREEMAN,Clay,Lake/Freeman,LAFR,19041041015,0.000000000293,population_weighted_block_intersection
