source_precinct_id,source_county,source_precinct,target_vtd,share,method
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19041041002,0.000000000700,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19041041003,0.000000000000,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059019,0.762689972621,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059020,0.157371027014,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059021,0.079310039154,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059016,0.000512357344,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059014,0.000116513391,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059010,0.000000001462,equal_area_intersection
DICKINSON - PRECINCT NO. 08,Dickinson,Precinct No. 08,19059059009,0.000000088314,equal_area_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19041041001,0.000000000800,equal_area_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19041041002,0.000000000263,equal_area_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19143143014,0.000000029713,equal_area_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059018,0.744383525855,equal_area_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059019,0.255616421897,equal_area_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059017,0.000000021059,equal_area_intersection
DICKINSON - PRECINCT NO. 09,Dickinson,Precinct No. 09,19059059010,0.000000000413,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041015,0.000000000966,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19147147010,0.000000000000,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041005,0.486309084848,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19147147009,0.000000000415,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041006,0.011657082130,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041004,0.502033829085,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19147147001,0.000000000451,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19059059012,0.000000000995,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19063063009,0.000000000000,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041014,0.000000000000,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041007,0.000000000671,equal_area_intersection
CLAY - LAKE-FREEMAN,Clay,Lake-Freeman,19041041003,0.000000000439,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041005,0.000000000066,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041006,0.000000000005,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041004,0.000000031869,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041013,0.000000000214,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041014,0.000000000310,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041010,0.000000000182,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041008,0.221784932729,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041007,0.230550142137,equal_area_intersection
CLAY - SUMMIT-RIVERTON-SIOUX-MEADOW,Clay,Summit-Riverton-Sioux-Meadow,19041041009,0.010194512083,equal_area_intersection
