year,plan2_district,office,district,candidate,party,votes
2020,1,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,78.000002
2020,1,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,272.007308
2020,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,138080.970210
2020,1,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,510.008706
2020,1,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,3098.077521
2020,1,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,111663.450200
2020,1,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,468.007774
2020,1,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GFH,0.000000
2020,1,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,90.001843
2020,1,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,148.000000
2020,1,PRESIDENT,,WRITE IN,,652.008110
2020,1,U S SENATE,,JONI ERNST,REP,131901.907434
2020,1,U S SENATE,,RICK STEWART,LIB,6024.097875
2020,1,U S SENATE,,SUZANNE HERZOG,,2087.026895
2020,1,U S SENATE,,THERESA GREENFIELD,DEM,111748.469985
2020,1,U S SENATE,,WRITE IN,,186.002733
2020,2,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,112.999998
2020,2,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,359.992690
2020,2,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,168594.027537
2020,2,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,655.991291
2020,2,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,3941.922440
2020,2,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,149204.548854
2020,2,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,592.992225
2020,2,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GFH,7.000000
2020,2,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,92.998158
2020,2,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,206.000001
2020,2,PRESIDENT,,WRITE IN,,773.991890
2020,2,U S SENATE,,JONI ERNST,REP,163062.090490
2020,2,U S SENATE,,RICK STEWART,LIB,7164.902035
2020,2,U S SENATE,,SUZANNE HERZOG,,2462.973083
2020,2,U S SENATE,,THERESA GREENFIELD,DEM,148815.529013
2020,2,U S SENATE,,WRITE IN,,198.997269
2020,3,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,86.000131
2020,3,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,241.000703
2020,3,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,153858.383950
2020,3,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,504.995261
2020,3,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,3959.979085
2020,3,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,161197.525364
2020,3,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,632.998153
2020,3,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,103.000102
2020,3,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,246.000776
2020,3,PRESIDENT,,WRITE IN,,859.997578
2020,3,U S SENATE,,JONI ERNST,REP,151647.459269
2020,3,U S SENATE,,RICK STEWART,LIB,6648.961567
2020,3,U S SENATE,,SUZANNE HERZOG,,2516.986437
2020,3,U S SENATE,,THERESA GREENFIELD,DEM,157502.492897
2020,3,U S SENATE,,WRITE IN,,219.997703
2020,4,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,92.999869
2020,4,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,283.999298
2020,4,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,165814.618304
2020,4,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,398.004742
2020,4,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,2881.020954
2020,4,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,92356.475582
2020,4,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,499.001848
2020,4,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,82.999897
2020,4,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,162.999223
2020,4,PRESIDENT,,WRITE IN,,628.002423
2020,4,U S SENATE,,JONI ERNST,REP,158308.542808
2020,4,U S SENATE,,RICK STEWART,LIB,5675.038523
2020,4,U S SENATE,,SUZANNE HERZOG,,2308.013584
2020,4,U S SENATE,,THERESA GREENFIELD,DEM,93726.508106
2020,4,U S SENATE,,WRITE IN,,209.002295
