year,plan2_district,office,district,candidate,party,votes
2020,1,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.000238
2020,1,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,1.999729
2020,1,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,618.031843
2020,1,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,0.000476
2020,1,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,2.001396
2020,1,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,169.013321
2020,1,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,0.000000
2020,1,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.000000
2020,1,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.000000
2020,1,PRESIDENT,,WRITE IN,,4.999561
2020,1,U S SENATE,,JONI ERNST,REP,592.030599
2020,1,U S SENATE,,RICK STEWART,LIB,13.001098
2020,1,U S SENATE,,SUZANNE HERZOG,,5.001943
2020,1,U S SENATE,,THERESA GREENFIELD,DEM,175.014652
2020,1,U S SENATE,,WRITE IN,,3.999459
2020,10,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,0.002917
2020,10,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,4.003465
2020,10,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,973.235417
2020,10,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,5.141179
2020,10,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,28.407455
2020,10,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,700.376310
2020,10,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,3.134821
2020,10,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,0.002120
2020,10,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,0.043896
2020,10,PRESIDENT,,WRITE IN,,0.141191
2020,10,U S SENATE,,JONI ERNST,REP,849.593846
2020,10,U S SENATE,,RICK STEWART,LIB,62.178543
2020,10,U S SENATE,,SUZANNE HERZOG,,26.344928
2020,10,U S SENATE,,THERESA GREENFIELD,DEM,720.830537
2020,10,U S SENATE,,WRITE IN,,3.002120
2020,11,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,4.000000
2020,11,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,28.821010
2020,11,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,16888.933361
2020,11,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,50.615757
2020,11,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,418.568081
2020,11,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,11931.934486
2020,11,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,43.999999
2020,11,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,8.000000
2020,11,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,25.410505
2020,11,PRESIDENT,,WRITE IN,,78.205252
2020,11,U S SENATE,,JONI ERNST,REP,16388.255377
2020,11,U S SENATE,,RICK STEWART,LIB,663.236363
2020,11,U S SENATE,,SUZANNE HERZOG,,226.284040
2020,11,U S SENATE,,THERESA GREENFIELD,DEM,11863.581359
2020,11,U S SENATE,,WRITE IN,,22.000000
2020,12,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,12.615883
2020,12,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,23.001924
2020,12,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,21583.118647
2020,12,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,37.266308
2020,12,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,294.692897
2020,12,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,9420.104314
2020,12,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,48.154545
2020,12,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,10.000006
2020,12,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,24.224205
2020,12,PRESIDENT,,WRITE IN,,52.997203
2020,12,U S SENATE,,JONI ERNST,REP,20473.389873
2020,12,U S SENATE,,RICK STEWART,LIB,698.626467
2020,12,U S SENATE,,SUZANNE HERZOG,,295.789587
2020,12,U S SENATE,,THERESA GREENFIELD,DEM,9633.418419
2020,12,U S SENATE,,WRITE IN,,19.353530
2020,13,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,3.736842
2020,13,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,9.000000
2020,13,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,7559.212554
2020,13,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,9.736842
2020,13,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,77.210561
2020,13,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,2767.421767
2020,13,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,16.000000
2020,13,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,5.000000
2020,13,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,3.000000
2020,13,PRESIDENT,,WRITE IN,,10.736843
2020,13,U S SENATE,,JONI ERNST,REP,6910.686082
2020,13,U S SENATE,,RICK STEWART,LIB,240.947449
2020,13,U S SENATE,,SUZANNE HERZOG,,88.210544
2020,13,U S SENATE,,THERESA GREENFIELD,DEM,3037.527078
2020,13,U S SENATE,,WRITE IN,,3.000000
2020,14,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,4.647091
2020,14,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,13.998297
2020,14,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,17573.570005
2020,14,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,37.986706
2020,14,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,515.323089
2020,14,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,18208.692625
2020,14,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,64.258847
2020,14,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,10.000040
2020,14,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,24.997348
2020,14,PRESIDENT,,WRITE IN,,108.912018
2020,14,U S SENATE,,JONI ERNST,REP,18282.864081
2020,14,U S SENATE,,RICK STEWART,LIB,624.566617
2020,14,U S SENATE,,SUZANNE HERZOG,,233.195102
2020,14,U S SENATE,,THERESA GREENFIELD,DEM,17091.351524
2020,14,U S SENATE,,WRITE IN,,22.645850
2020,15,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,11.991442
2020,15,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,19.998324
2020,15,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,10088.976208
2020,15,PRESIDENT,,HOWIE HAWKINS AND ANGELA NICOLE WALKER,GRN,45.007599
2020,15,PRESIDENT,,JO JORGENSEN AND JEREMY COHEN,LIB,318.882496
2020,15,PRESIDENT,,JOSEPH R BIDEN AND KAMALA D HARRIS,DEM,16108.464072
2020,15,PRESIDENT,,KANYE WEST AND MICHELLE TIDBALL,,75.975516
2020,15,PRESIDENT,,RICKI SUE KING AND DAYNA R CHANDLER,GKH,7.999210
2020,15,PRESIDENT,,ROQUE ROCKY DE LA FUENTE AND DARCY G RICHARDSON,ALL,37.984185
2020,15,PRESIDENT,,WRITE IN,,61.967565
2020,15,U S SENATE,,JONI ERNST,REP,9380.296214
2020,15,U S SENATE,,RICK STEWART,LIB,674.777489
2020,15,U S SENATE,,SUZANNE HERZOG,,290.866844
2020,15,U S SENATE,,THERESA GREENFIELD,DEM,16036.398134
2020,15,U S SENATE,,WRITE IN,,28.000476
2020,16,PRESIDENT,,BROCK PIERCE AND KARLA BALLARD,,1.995351
2020,16,PRESIDENT,,DON BLANKENSHIP AND WILLIAM ALAN MOHR,CON,8.986281
