year,plan2_district,office,district,candidate,party,votes
2022,1,ATTORNEY GENERAL,,BRENNA BIRD,REP,9812.988229297440
2022,1,ATTORNEY GENERAL,,TOM MILLER,DEM,7222.325511369536
2022,1,ATTORNEY GENERAL,,WRITE IN,,13.288547399024
2022,1,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,5468.237254698370
2022,1,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,11465.600305830605
2022,1,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,356.978705128326
2022,1,GOVERNOR,,WRITE IN,,18.120746453215
2022,1,SECRETARY OF STATE,,JOEL MILLER,DEM,5907.363343747936
2022,1,SECRETARY OF STATE,,PAUL D PATE,REP,11169.024088879660
2022,1,SECRETARY OF STATE,,WRITE IN,,14.496597162572
2022,1,U S SENATE,,CHUCK GRASSLEY,REP,10969.695877894301
2022,1,U S SENATE,,MICHAEL FRANKEN,DEM,6287.294994383667
2022,1,U S SENATE,,WRITE IN,,39.865642197072
2022,2,ATTORNEY GENERAL,,BRENNA BIRD,REP,20126.568409992993
2022,2,ATTORNEY GENERAL,,TOM MILLER,DEM,4353.917114172309
2022,2,ATTORNEY GENERAL,,WRITE IN,,10.701844501518
2022,2,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,2827.688419332244
2022,2,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,22180.450968947000
2022,2,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,236.780060705113
2022,2,GOVERNOR,,WRITE IN,,4.616974083586
2022,2,SECRETARY OF STATE,,JOEL MILLER,DEM,3226.844851739435
2022,2,SECRETARY OF STATE,,PAUL D PATE,REP,21460.957272939530
2022,2,SECRETARY OF STATE,,WRITE IN,,6.850922250759
2022,2,U S SENATE,,CHUCK GRASSLEY,REP,21394.851739434976
2022,2,U S SENATE,,MICHAEL FRANKEN,DEM,3622.647793602615
2022,2,U S SENATE,,WRITE IN,,24.020663086622
2022,3,ATTORNEY GENERAL,,BRENNA BIRD,REP,14426.432062248194
2022,3,ATTORNEY GENERAL,,TOM MILLER,DEM,6755.855246661192
2022,3,ATTORNEY GENERAL,,WRITE IN,,14.756359750195
2022,3,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,4304.659531008750
2022,3,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,17044.286321069674
2022,3,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,394.909431115905
2022,3,GOVERNOR,,WRITE IN,,4.859558105469
2022,3,SECRETARY OF STATE,,JOEL MILLER,DEM,4721.587225426611
2022,3,SECRETARY OF STATE,,PAUL D PATE,REP,16502.375217816661
2022,3,SECRETARY OF STATE,,WRITE IN,,7.047411939746
2022,3,U S SENATE,,CHUCK GRASSLEY,REP,16183.409039774691
2022,3,U S SENATE,,MICHAEL FRANKEN,DEM,5224.147663958712
2022,3,U S SENATE,,WRITE IN,,21.783434888964
2022,4,ATTORNEY GENERAL,,BRENNA BIRD,REP,13560.000000000000
2022,4,ATTORNEY GENERAL,,TOM MILLER,DEM,8870.000000000000
2022,4,ATTORNEY GENERAL,,WRITE IN,,17.000000000000
2022,4,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,5930.000000000000
2022,4,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,16453.000000000000
2022,4,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,453.000000000000
2022,4,GOVERNOR,,WRITE IN,,15.000000000000
2022,4,SECRETARY OF STATE,,JOEL MILLER,DEM,6158.000000000000
2022,4,SECRETARY OF STATE,,PAUL D PATE,REP,16348.000000000000
2022,4,SECRETARY OF STATE,,WRITE IN,,11.000000000000
2022,4,U S SENATE,,CHUCK GRASSLEY,REP,15714.000000000000
2022,4,U S SENATE,,MICHAEL FRANKEN,DEM,6843.000000000000
2022,4,U S SENATE,,WRITE IN,,35.000000000000
2022,5,ATTORNEY GENERAL,,BRENNA BIRD,REP,17331.869018554688
2022,5,ATTORNEY GENERAL,,TOM MILLER,DEM,9534.723754882812
2022,5,ATTORNEY GENERAL,,WRITE IN,,6.702209472656
