year,plan2_district,office,district,candidate,party,votes
2006,1,ATTORNEY GENERAL,,SCATTERING,,1411.000000000000
2006,1,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,190782.000000000000
2006,1,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,160602.000000000000
2006,1,AUDITOR OF STATE,,SCATTERING,,2429.000000000000
2006,1,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,120453.000000000000
2006,1,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,135382.000000000000
2006,1,SECRETARY OF AGRICULTURE,,SCATTERING,,150.000000000000
2006,1,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,109006.000000000000
2006,1,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,143624.000000000000
2006,1,SECRETARY OF STATE,,SCATTERING,,189.000000000000
2006,1,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,189207.000000000000
2006,1,TREASURER OF STATE,,SCATTERING,,1424.000000000000
2006,2,ATTORNEY GENERAL,,SCATTERING,,1126.000000000000
2006,2,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,211199.000000000000
2006,2,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,178045.000000000000
2006,2,AUDITOR OF STATE,,SCATTERING,,1642.000000000000
2006,2,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,136170.000000000000
2006,2,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,141578.000000000000
2006,2,SECRETARY OF AGRICULTURE,,SCATTERING,,128.000000000000
2006,2,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,117922.000000000000
2006,2,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,156158.000000000000
2006,2,SECRETARY OF STATE,,SCATTERING,,178.000000000000
2006,2,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,208230.000000000000
2006,2,TREASURER OF STATE,,SCATTERING,,1208.000000000000
2006,3,ATTORNEY GENERAL,,SCATTERING,,1926.000000000000
2006,3,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,168391.000000000000
2006,3,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,151000.000000000000
2006,3,AUDITOR OF STATE,,SCATTERING,,2436.000000000000
2006,3,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,119854.000000000000
2006,3,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,112431.000000000000
2006,3,SECRETARY OF AGRICULTURE,,SCATTERING,,198.000000000000
2006,3,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,107686.000000000000
2006,3,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,124968.000000000000
2006,3,SECRETARY OF STATE,,SCATTERING,,619.000000000000
2006,3,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,165515.000000000000
2006,3,TREASURER OF STATE,,SCATTERING,,1817.000000000000
2006,4,ATTORNEY GENERAL,,SCATTERING,,1200.000000000000
2006,4,ATTORNEY GENERAL,,TOM MILLER,DEMOCRAT,177809.000000000000
2006,4,AUDITOR OF STATE,,DAVID A VAUDT,REPUBLICAN,179787.000000000000
2006,4,AUDITOR OF STATE,,SCATTERING,,1409.000000000000
2006,4,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN,147062.000000000000
2006,4,SECRETARY OF AGRICULTURE,,DENISE OBRIEN,DEMOCRAT,106482.000000000000
2006,4,SECRETARY OF AGRICULTURE,,SCATTERING,,132.000000000000
2006,4,SECRETARY OF STATE,,MARYANN HANUSA,REPUBLICAN,132947.000000000000
2006,4,SECRETARY OF STATE,,MICHAEL A MAURO,DEMOCRAT,116484.000000000000
2006,4,SECRETARY OF STATE,,SCATTERING,,171.000000000000
2006,4,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRAT,174246.000000000000
2006,4,TREASURER OF STATE,,SCATTERING,,1217.000000000000
