year,plan2_district,office,district,candidate,party,votes
2022,1,ATTORNEY GENERAL,,BRENNA BIRD,REP,4910.557876553931
2022,1,ATTORNEY GENERAL,,TOM MILLER,DEM,3614.153670439207
2022,1,ATTORNEY GENERAL,,WRITE IN,,6.649776762538
2022,1,AUDITOR OF STATE,,ROB SAND,DEM,3711.784483816464
2022,1,AUDITOR OF STATE,,TODD HALBUR,REP,4806.579548994252
2022,1,AUDITOR OF STATE,,WRITE IN,,9.067877403460
2022,1,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,2736.383137784238
2022,1,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,5737.548295749521
2022,1,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,178.637184848170
2022,1,GOVERNOR,,WRITE IN,,9.067877403460
2022,1,SECRETARY OF AGRICULTURE,,JOHN NORWOOD,DEM,2822.225710536997
2022,1,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,5668.632427483222
2022,1,SECRETARY OF AGRICULTURE,,WRITE IN,,7.254301922768
2022,1,SECRETARY OF STATE,,JOEL MILLER,DEM,2956.128033528096
2022,1,SECRETARY OF STATE,,PAUL D PATE,REP,5589.137368912886
2022,1,SECRETARY OF STATE,,WRITE IN,,7.254301922768
2022,1,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,3479.344559707762
2022,1,TREASURER OF STATE,,ROBY SMITH,REP,5034.485534401224
2022,1,TREASURER OF STATE,,WRITE IN,,7.254301922768
2022,1,U S SENATE,,CHUCK GRASSLEY,REP,5489.390717474821
2022,1,U S SENATE,,MICHAEL FRANKEN,DEM,3146.251196420649
2022,1,U S SENATE,,WRITE IN,,19.949330287613
2022,2,ATTORNEY GENERAL,,BRENNA BIRD,REP,4902.430352743509
2022,2,ATTORNEY GENERAL,,TOM MILLER,DEM,3608.171840930329
2022,2,ATTORNEY GENERAL,,WRITE IN,,6.638770636486
2022,2,AUDITOR OF STATE,,ROB SAND,DEM,3705.641064366015
2022,2,AUDITOR OF STATE,,TODD HALBUR,REP,4798.624120972994
2022,2,AUDITOR OF STATE,,WRITE IN,,9.052869049754
2022,2,GOVERNOR,,DEIDRE DEJEAR AND ERIC VAN LANCKER,DEM,2731.854116914132
2022,2,GOVERNOR,,KIM REYNOLDS AND ADAM GREGG,REP,5728.052010081083
2022,2,GOVERNOR,,RICK STEWART AND MARCO BATTAGLIA,LIB,178.341520280156
2022,2,GOVERNOR,,WRITE IN,,9.052869049754
2022,2,SECRETARY OF AGRICULTURE,,JOHN NORWOOD,DEM,2817.554610585137
2022,2,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,5659.250205302952
2022,2,SECRETARY OF AGRICULTURE,,WRITE IN,,7.242295239803
2022,2,SECRETARY OF STATE,,JOEL MILLER,DEM,2951.235310219839
2022,2,SECRETARY OF STATE,,PAUL D PATE,REP,5579.886719966774
2022,2,SECRETARY OF STATE,,WRITE IN,,7.242295239803
2022,2,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,3473.585854390652
2022,2,TREASURER OF STATE,,ROBY SMITH,REP,5026.152896423481
2022,2,TREASURER OF STATE,,WRITE IN,,7.242295239803
