year,plan2_district,office,district,candidate,party,votes
2014,1,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,116900.000000000000
2014,1,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,158923.000000000000
2014,1,ATTORNEY GENERAL,,WRITE IN,,320.000000000000
2014,1,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,125653.000000000000
2014,1,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,142131.000000000000
2014,1,AUDITOR OF STATE,,WRITE IN,,351.000000000000
2014,1,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,113559.000000000000
2014,1,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,2690.000000000000
2014,1,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,2641.000000000000
2014,1,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,4456.000000000000
2014,1,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,161431.000000000000
2014,1,GOVERNOR,,WRITE IN,,250.000000000000
2014,1,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,156418.000000000000
2014,1,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,10327.000000000000
2014,1,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,106013.000000000000
2014,1,SECRETARY OF AGRICULTURE,,WRITE IN,,236.000000000000
2014,1,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,133733.000000000000
2014,1,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,8447.000000000000
2014,1,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,127966.000000000000
2014,1,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,5230.000000000000
2014,1,SECRETARY OF STATE,,WRITE IN,,178.000000000000
2014,1,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,9920.000000000000
2014,1,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,149829.000000000000
2014,1,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,114422.000000000000
2014,1,TREASURER OF STATE,,WRITE IN,,182.000000000000
