county_name,county_norm,population_2020,population_2021,population_2022,population_2023,population_2024,population_2025,change_2020_2025,change_2020_2025_pct,change_2024_2025,change_2024_2025_pct
Iowa,IOWA STATE,3191081,3199037,3201890,3214739,3230454,3238387,47306,1.4824443503627767,7933,0.24556919863276183
Adair,ADAIR,7498,7529,7466,7418,7465,7403,-95,-1.2670045345425447,-62,-0.8305425318151374
Adams,ADAMS,3710,3639,3600,3559,3600,3617,-93,-2.5067385444743935,17,0.4722222222222222
Allamakee,ALLAMAKEE,14072,13977,14095,14163,14206,14238,166,1.1796475270039795,32,0.22525693368999014
Appanoose,APPANOOSE,12283,12267,12134,12122,12102,12077,-206,-1.6771147113897256,-25,-0.20657742521897207
Audubon,AUDUBON,5680,5642,5567,5527,5548,5509,-171,-3.0105633802816905,-39,-0.702956020187455
Benton,BENTON,25552,25747,25748,25773,25845,26004,452,1.7689417658108955,159,0.6152060359837493
Black Hawk,BLACK HAWK,131037,130571,129963,130812,131473,131532,495,0.3777559010050596,59,0.04487613426330882
Boone,BOONE,26705,26776,26574,26581,26727,26799,94,0.35199400861261937,72,0.2693905039847345
Bremer,BREMER,25014,25134,25261,25337,25363,25296,282,1.1273686735428161,-67,-0.264164333872176
Buchanan,BUCHANAN,20608,20718,20705,20725,20711,20883,275,1.3344332298136645,172,0.8304765583506349
Buena Vista,BUENA VISTA,20800,20794,20644,20678,20655,20449,-351,-1.6875,-206,-0.9973372064875332
Butler,BUTLER,14337,14357,14258,14190,14093,14049,-288,-2.0087884494664157,-44,-0.31221173632299726
Calhoun,CALHOUN,9895,9895,9726,9770,9654,9562,-333,-3.3653360282971194,-92,-0.9529728609902631
Carroll,CARROLL,20725,20745,20558,20513,20446,20303,-422,-2.0361881785283478,-143,-0.6994033062701751
Cass,CASS,13118,13087,13127,13120,13005,12960,-158,-1.2044518981552066,-45,-0.34602076124567477
Cedar,CEDAR,18486,18435,18333,18298,18288,18359,-127,-0.6870063832089148,71,0.38823272090988625
Cerro Gordo,CERRO GORDO,43018,42773,42401,42427,42347,42372,-646,-1.5016969640615556,25,0.05903605922497462
Cherokee,CHEROKEE,11648,11533,11486,11589,11522,11369,-279,-2.395260989010989,-153,-1.3278944627668807
Chickasaw,CHICKASAW,11995,11896,11765,11713,11724,11663,-332,-2.767819924968737,-61,-0.5203002388263391
Clarke,CLARKE,9731,9752,9689,9648,9591,9574,-157,-1.613400472716062,-17,-0.17724950474403087
Clay,CLAY,16341,16464,16514,16537,16521,16202,-139,-0.8506211370173183,-319,-1.9308758549724594
Clayton,CLAYTON,17027,17056,17049,17008,16983,16845,-182,-1.068890585540612,-138,-0.8125772831655184
Clinton,CLINTON,46431,46497,46263,46109,45999,46002,-429,-0.9239516702203269,3,0.006521880910454575
Crawford,CRAWFORD,16487,16239,16143,16130,16289,16237,-250,-1.516346212167162,-52,-0.3192338387869114
Dallas,DALLAS,100521,104166,108070,111321,114812,118457,17936,17.84303777320162,3645,3.1747552520642444
Davis,DAVIS,9116,9154,9145,9161,9176,9230,114,1.2505484861781484,54,0.5884917175239756
Decatur,DECATUR,7728,7796,7807,7777,7675,7655,-73,-0.9446169772256728,-20,-0.26058631921824105
Delaware,DELAWARE,17456,17554,17590,17572,17602,17674,218,1.2488542621448213,72,0.4090444267696853
Des Moines,DES MOINES,38849,38537,38229,38299,38150,38077,-772,-1.9871811372236092,-73,-0.19134993446920054
Dickinson,DICKINSON,17775,17885,18056,18081,18072,18077,302,1.69901547116737,5,0.02766710934041611
Dubuque,DUBUQUE,99311,98885,98723,98907,99033,99381,70,0.0704856461016403,348,0.3513980188422041
Emmet,EMMET,9341,9331,9206,9294,9131,9107,-234,-2.505085108660743,-24,-0.26284087175555804
Fayette,FAYETTE,19448,19309,19303,19233,19110,19047,-401,-2.061908679555738,-63,-0.32967032967032966
Floyd,FLOYD,15595,15463,15317,15306,15081,14901,-694,-4.450144277011863,-180,-1.1935548040580863
Franklin,FRANKLIN,9991,9946,9923,9881,9977,9868,-123,-1.2311079971974777,-109,-1.092512779392603
Fremont,FREMONT,6575,6594,6474,6462,6493,6522,-53,-0.8060836501901141,29,0.44663483751732636
Greene,GREENE,8749,8728,8706,8603,8654,8658,-91,-1.040118870728083,4,0.04622140050843541
Grundy,GRUNDY,12337,12365,12367,12383,12372,12361,24,0.1945367593418173,-11,-0.08891044293566117
Guthrie,GUTHRIE,10614,10593,10678,10738,10687,10782,168,1.582815149802148,95,0.8889304762795921
Hamilton,HAMILTON,15014,14874,14880,14914,14998,14944,-70,-0.4662315172505661,-54,-0.3600480064008535
Hancock,HANCOCK,10763,10693,10662,10638,10620,10528,-235,-2.1834061135371177,-92,-0.8662900188323917
Hardin,HARDIN,16831,16725,16670,16522,16460,16455,-376,-2.233973025963995,-5,-0.030376670716889428
Harrison,HARRISON,14560,14681,14621,14649,14594,14623,63,0.4326923076923077,29,0.19871179936960395
Henry,HENRY,20450,20405,20284,19603,19368,19349,-1101,-5.383863080684597,-19,-0.09809995869475424
Howard,HOWARD,9494,9508,9502,9400,9437,9415,-79,-0.8321044870444491,-22,-0.23312493377132562
Humboldt,HUMBOLDT,9599,9635,9540,9522,9505,9409,-190,-1.9793728513386812,-96,-1.0099947396107312
Ida,IDA,7019,6964,6880,6812,6767,6777,-242,-3.447784584698675,10,0.14777597162701345
Iowa,IOWA,16665,16606,16514,16431,16474,16504,-161,-0.9660966096609661,30,0.1821051353648173
Jackson,JACKSON,19447,19394,19333,19343,19351,19288,-159,-0.817606828816784,-63,-0.3255645703064441
Jasper,JASPER,37821,37895,37948,37990,38122,38153,332,0.8778192009730044,31,0.08131787419337916
Jefferson,JEFFERSON,15688,15795,15580,15464,15405,15291,-397,-2.5305966343702195,-114,-0.7400194741966893
Johnson,JOHNSON,153071,155142,156681,157729,158863,160044,6973,4.555402394967042,1181,0.7434078419770493
Jones,JONES,20658,20836,20969,20933,21171,21253,595,2.8802401006873852,82,0.38732228047801237
Keokuk,KEOKUK,10000,9902,9880,9931,9804,9797,-203,-2.03,-7,-0.07139942880456956
Kossuth,KOSSUTH,14794,14517,14490,14449,14468,14322,-472,-3.19048262809247,-146,-1.0091235830799006
Lee,LEE,33527,33265,32783,32502,32480,32306,-1221,-3.6418409043457514,-174,-0.5357142857142857
Linn,LINN,230405,229479,228878,228775,230389,232028,1623,0.704411796618997,1639,0.7114054924497263
Louisa,LOUISA,10822,10733,10641,10525,10564,10416,-406,-3.751617076326003,-148,-1.4009844755774328
Lucas,LUCAS,8621,8718,8732,8776,8826,8847,226,2.621505625797471,21,0.2379333786539769
Lyon,LYON,11924,12035,12180,12309,12404,12354,430,3.6061724253606173,-50,-0.4030957755562722
Madison,MADISON,16631,16805,17064,17017,17149,17270,639,3.8422223558415007,121,0.7055805003207184
Mahaska,MAHASKA,22151,21972,21940,21947,21912,21880,-271,-1.2234210645117602,-32,-0.14603870025556773
Marion,MARION,33420,33457,33581,33662,33955,34192,772,2.3099940155595453,237,0.6979826240612576
Marshall,MARSHALL,40100,39925,39859,40087,40128,39890,-210,-0.5236907730673317,-238,-0.5931020733652312
Mills,MILLS,14413,14489,14557,14619,14748,14793,380,2.6365087074169153,45,0.30512611879576895
Mitchell,MITCHELL,10591,10564,10553,10543,10591,10650,59,0.5570767632895854,59,0.5570767632895854
Monona,MONONA,8746,8609,8527,8539,8492,8539,-207,-2.366796249714155,47,0.5534620819594913
Monroe,MONROE,7600,7590,7531,7490,7394,7406,-194,-2.5526315789473686,12,0.1622937516905599
Montgomery,MONTGOMERY,10334,10319,10207,10156,10053,10002,-332,-3.212695955099671,-51,-0.5073112503730229
Muscatine,MUSCATINE,43151,42703,42501,42293,42161,41853,-1298,-3.0080415285856645,-308,-0.7305329569981737
O'Brien,O'BRIEN,14156,14052,14095,14052,14188,14220,64,0.4521051144391071,32,0.22554271215111363
Osceola,OSCEOLA,6201,6177,6070,6015,6008,5980,-221,-3.563941299790356,-28,-0.4660452729693742
Page,PAGE,15202,15230,15164,14993,15013,14856,-346,-2.2760163136429417,-157,-1.0457603410377672
Palo Alto,PALO ALTO,8990,8932,8779,8841,8892,8899,-91,-1.0122358175750834,7,0.07872244714349977
