year,vtd_id,office,district,candidate,party,votes
2016,19001001001,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.018568
2016,19001001001,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,0.009284
2016,19001001001,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,5.096799
2016,19001001001,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,0.009284
2016,19001001001,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,0.194960
2016,19001001001,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,19001001001,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,1.615380
2016,19001001001,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,0.027851
2016,19001001001,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,0.000000
2016,19001001001,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.009284
2016,19001001001,PRESIDENT,,WRITE IN,OTH,0.055703
2016,19001001001,U S SENATE,,CHARLES ALDRICH,LIB,0.269230
2016,19001001001,U S SENATE,,CHARLES E GRASSLEY,REP,5.217489
2016,19001001001,U S SENATE,,JIM HENNAGER,OTH,0.102122
2016,19001001001,U S SENATE,,MICHAEL LUICK THRAMS,OTH,0.046419
2016,19001001001,U S SENATE,,PATTY JUDGE,DEM,1.346150
2016,19001001001,U S SENATE,,WRITE IN,OTH,0.000000
2016,19001001002,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.426053
2016,19001001002,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,0.213026
2016,19001001002,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,116.951451
2016,19001001002,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,0.213026
2016,19001001002,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,4.473553
2016,19001001002,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,19001001002,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,37.066580
2016,19001001002,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,0.639079
2016,19001001002,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,0.000000
2016,19001001002,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.213026
2016,19001001002,PRESIDENT,,WRITE IN,OTH,1.278158
2016,19001001002,U S SENATE,,CHARLES ALDRICH,LIB,6.177763
2016,19001001002,U S SENATE,,CHARLES E GRASSLEY,REP,119.720793
2016,19001001002,U S SENATE,,JIM HENNAGER,OTH,2.343290
2016,19001001002,U S SENATE,,MICHAEL LUICK THRAMS,OTH,1.065132
2016,19001001002,U S SENATE,,PATTY JUDGE,DEM,30.888817
2016,19001001002,U S SENATE,,WRITE IN,OTH,0.000000
2016,19001001003,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,0.442628
2016,19001001003,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,0.221314
2016,19001001003,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,121.501268
