year,plan2_district,office,district,candidate,party,votes
2016,13,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,8.000000
2016,13,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,19.115210
2016,13,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,4640.669389
2016,13,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,32.631187
2016,13,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,164.713883
2016,13,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,1.000000
2016,13,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,1632.518711
2016,13,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,34.515846
2016,13,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,6.554112
2016,13,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,0.000000
2016,13,PRESIDENT,,WRITE IN,OTH,61.733224
2016,13,U S SENATE,,CHARLES ALDRICH,LIB,139.421783
2016,13,U S SENATE,,CHARLES E GRASSLEY,REP,4946.206704
2016,13,U S SENATE,,JIM HENNAGER,OTH,68.025928
2016,13,U S SENATE,,MICHAEL LUICK THRAMS,OTH,8.605130
2016,13,U S SENATE,,PATTY JUDGE,DEM,1355.586764
2016,13,U S SENATE,,WRITE IN,OTH,1.000073
2016,15,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,15.962571
2016,15,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,36.948017
2016,15,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8416.408360
2016,15,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,67.651456
2016,15,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,375.247307
2016,15,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,2.999730
2016,15,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,3802.228297
2016,15,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,73.787119
2016,15,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,39.822674
2016,15,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,3.995988
2016,15,PRESIDENT,,WRITE IN,OTH,130.180329
2016,15,U S SENATE,,CHARLES ALDRICH,LIB,363.444276
2016,15,U S SENATE,,CHARLES E GRASSLEY,REP,8752.535820
2016,15,U S SENATE,,JIM HENNAGER,OTH,292.728860
2016,15,U S SENATE,,MICHAEL LUICK THRAMS,OTH,36.895649
2016,15,U S SENATE,,PATTY JUDGE,DEM,3189.229420
2016,15,U S SENATE,,WRITE IN,OTH,11.913178
2016,16,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,25.992702
2016,16,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,55.002583
2016,16,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,10262.594368
2016,16,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,115.021773
2016,16,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,549.203732
2016,16,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.000259
2016,16,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,3945.135870
2016,16,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,89.062423
2016,16,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,33.036041
2016,16,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,6.000940
2016,16,PRESIDENT,,WRITE IN,OTH,127.070550
2016,16,U S SENATE,,CHARLES ALDRICH,LIB,428.189470
2016,16,U S SENATE,,CHARLES E GRASSLEY,REP,10886.584266
2016,16,U S SENATE,,JIM HENNAGER,OTH,251.219158
2016,16,U S SENATE,,MICHAEL LUICK THRAMS,OTH,47.016409
2016,16,U S SENATE,,PATTY JUDGE,DEM,3164.760712
2016,16,U S SENATE,,WRITE IN,OTH,17.994746
2016,17,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,4.997970
2016,17,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,45.182905
2016,17,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,6200.369914
2016,17,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,38.008354
2016,17,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,301.681690
2016,17,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,0.000000
2016,17,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,2551.461496
2016,17,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,44.996551
2016,17,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,8.331429
2016,17,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,5.954426
2016,17,PRESIDENT,,WRITE IN,OTH,73.040471
