year,plan2_district,office,district,candidate,party,votes
2014,1,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,112924.003353
2014,1,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,154581.004325
2014,1,ATTORNEY GENERAL,,WRITE IN,,312.000011
2014,1,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,122396.003214
2014,1,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,137278.004229
2014,1,AUDITOR OF STATE,,WRITE IN,,342.000021
2014,1,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,110605.003382
2014,1,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,2588.000067
2014,1,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,2567.000105
2014,1,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,4291.000254
2014,1,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,156140.003981
2014,1,GOVERNOR,,WRITE IN,,244.000010
2014,1,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,150934.004883
2014,1,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,9986.000298
2014,1,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,103555.002415
2014,1,SECRETARY OF AGRICULTURE,,WRITE IN,,230.000011
2014,1,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,130251.003589
2014,1,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,8169.000341
2014,1,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,123605.003495
2014,1,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,5042.000100
2014,1,SECRETARY OF STATE,,WRITE IN,,174.000011
2014,1,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,9570.000239
2014,1,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,145753.004112
2014,1,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,110553.003264
2014,1,TREASURER OF STATE,,WRITE IN,,176.000011
2014,1,U S SENATE,,BOB QUAST,BOB QUAST FOR TERM LIMITS,1627.000034
2014,1,U S SENATE,,BRUCE BRALEY,DEMOCRATIC PARTY,130759.003442
2014,1,U S SENATE,,DOUGLAS BUTZIER,LIBERTARIAN PARTY,1923.000048
2014,1,U S SENATE,,JONI ERNST,REPUBLICAN PARTY,134444.003933
2014,1,U S SENATE,,RICK STEWART,INDEPENDENT,5967.000245
2014,1,U S SENATE,,RUTH SMITH,,1132.000065
2014,1,U S SENATE,,WRITE IN,,276.000010
2014,2,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,117122.999751
2014,2,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,173049.999646
2014,2,ATTORNEY GENERAL,,WRITE IN,,253.999999
2014,2,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,128140.999764
2014,2,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,151163.999671
2014,2,AUDITOR OF STATE,,WRITE IN,,357.999999
2014,2,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,120471.999783
2014,2,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,2571.999993
2014,2,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,2099.999995
2014,2,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,4455.999988
2014,2,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,168815.999618
2014,2,GOVERNOR,,WRITE IN,,234.999999
2014,2,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,173295.999607
2014,2,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,9990.999974
2014,2,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,102513.999832
2014,2,SECRETARY OF AGRICULTURE,,WRITE IN,,223.000000
2014,2,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,142151.999730
2014,2,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,8603.999975
2014,2,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,134056.999710
2014,2,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,4525.999990
2014,2,SECRETARY OF STATE,,WRITE IN,,180.000000
2014,2,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,11144.999973
2014,2,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,163281.999669
2014,2,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,113383.999765
2014,2,TREASURER OF STATE,,WRITE IN,,153.000000
2014,2,U S SENATE,,BOB QUAST,BOB QUAST FOR TERM LIMITS,1137.999997
2014,2,U S SENATE,,BRUCE BRALEY,DEMOCRATIC PARTY,142806.999740
2014,2,U S SENATE,,DOUGLAS BUTZIER,LIBERTARIAN PARTY,2338.999993
2014,2,U S SENATE,,JONI ERNST,REPUBLICAN PARTY,144572.999667
2014,2,U S SENATE,,RICK STEWART,INDEPENDENT,6652.999987
2014,2,U S SENATE,,RUTH SMITH,,1081.999998
2014,2,U S SENATE,,WRITE IN,,222.999999
2014,3,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,105884.000201
2014,3,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,152691.000179
2014,3,ATTORNEY GENERAL,,WRITE IN,,416.000000
2014,3,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,111027.000115
2014,3,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,138482.000259
2014,3,AUDITOR OF STATE,,WRITE IN,,478.000001
2014,3,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,103364.000103
2014,3,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,2509.000002
2014,3,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,3287.000006
2014,3,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,5925.000018
2014,3,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,147015.000268
2014,3,GOVERNOR,,WRITE IN,,358.000001
2014,3,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,155347.000275
2014,3,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,8876.000035
2014,3,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,90791.000080
2014,3,SECRETARY OF AGRICULTURE,,WRITE IN,,271.000000
2014,3,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,125018.000137
2014,3,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,7847.000023
2014,3,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,118634.000210
2014,3,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,4676.000009
2014,3,SECRETARY OF STATE,,WRITE IN,,240.000000
2014,3,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,7464.000024
2014,3,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,142354.000162
2014,3,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,106848.000197
2014,3,TREASURER OF STATE,,WRITE IN,,202.000000
2014,3,U S SENATE,,BOB QUAST,BOB QUAST FOR TERM LIMITS,1366.000004
2014,3,U S SENATE,,BRUCE BRALEY,DEMOCRATIC PARTY,117572.000122
2014,3,U S SENATE,,DOUGLAS BUTZIER,LIBERTARIAN PARTY,2012.000003
2014,3,U S SENATE,,JONI ERNST,REPUBLICAN PARTY,136032.000254
2014,3,U S SENATE,,RICK STEWART,INDEPENDENT,5935.000013
2014,3,U S SENATE,,RUTH SMITH,,1214.000000
2014,3,U S SENATE,,WRITE IN,,335.000001
2014,4,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,129728.996694
2014,4,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,120841.995850
2014,4,ATTORNEY GENERAL,,WRITE IN,,238.999990
2014,4,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,84057.996906
2014,4,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,158373.995841
2014,4,AUDITOR OF STATE,,WRITE IN,,250.999979
2014,4,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,76702.996732
2014,4,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,2609.999937
2014,4,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,2010.999894
2014,4,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,5008.999741
2014,4,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,172800.996132
2014,4,GOVERNOR,,WRITE IN,,229.999990
2014,4,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,174669.995234
2014,4,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,9374.999694
2014,4,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,65331.997673
2014,4,SECRETARY OF AGRICULTURE,,WRITE IN,,145.999990
2014,4,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,99313.996544
2014,4,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,7318.999661
2014,4,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,136364.996585
2014,4,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,5146.999901
2014,4,SECRETARY OF STATE,,WRITE IN,,151.999990
2014,4,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,7618.999764
2014,4,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,111145.996056
2014,4,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,130691.996775
2014,4,TREASURER OF STATE,,WRITE IN,,119.999990
2014,4,U S SENATE,,BOB QUAST,BOB QUAST FOR TERM LIMITS,1571.999965
2014,4,U S SENATE,,BRUCE BRALEY,DEMOCRATIC PARTY,91531.996696
2014,4,U S SENATE,,DOUGLAS BUTZIER,LIBERTARIAN PARTY,1689.999957
2014,4,U S SENATE,,JONI ERNST,REPUBLICAN PARTY,154783.996146
2014,4,U S SENATE,,RICK STEWART,INDEPENDENT,7385.999755
2014,4,U S SENATE,,RUTH SMITH,,1142.999937
2014,4,U S SENATE,,WRITE IN,,251.999990
