year,plan2_district,office,district,candidate,party,votes
2018,1,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,1463.140232
2018,1,ATTORNEY GENERAL,,TOM MILLER,DEM,5495.346487
2018,1,ATTORNEY GENERAL,,WRITE IN,,76.722898
2018,1,AUDITOR OF STATE,,FRED PERRYMAN,LIB,223.128871
2018,1,AUDITOR OF STATE,,MARY MOSIMAN,REP,2752.953652
2018,1,AUDITOR OF STATE,,ROB SAND,DEM,4841.160256
2018,1,AUDITOR OF STATE,,WRITE IN,,3.000000
2018,1,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,4336.782974
2018,1,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,31.894613
2018,1,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,163.485386
2018,1,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,3464.429139
2018,1,GOVERNOR,,WRITE IN,,6.975624
2018,1,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,3117.585549
2018,1,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,280.004532
2018,1,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,4385.953607
2018,1,SECRETARY OF AGRICULTURE,,WRITE IN,,5.972930
2018,1,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,4409.633344
2018,1,SECRETARY OF STATE,,JULES OFENBAKH,LIB,205.379982
2018,1,SECRETARY OF STATE,,PAUL D PATE,REP,3234.109106
2018,1,SECRETARY OF STATE,,WRITE IN,,5.986465
2018,1,TREASURER OF STATE,,JEREMY N DAVIS,REP,2879.550268
2018,1,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,4704.746030
2018,1,TREASURER OF STATE,,TIMOTHY HIRD,LIB,203.335043
2018,1,TREASURER OF STATE,,WRITE IN,,1.000000
2018,10,ATTORNEY GENERAL,,MARCO BATTAGLIA,LIB,2098.990339
2018,10,ATTORNEY GENERAL,,TOM MILLER,DEM,6845.373671
2018,10,ATTORNEY GENERAL,,WRITE IN,,56.523042
2018,10,AUDITOR OF STATE,,FRED PERRYMAN,LIB,188.516884
2018,10,AUDITOR OF STATE,,MARY MOSIMAN,REP,6296.299715
2018,10,AUDITOR OF STATE,,ROB SAND,DEM,4259.003818
2018,10,AUDITOR OF STATE,,WRITE IN,,2.000000
2018,10,GOVERNOR,,FRED HUBBELL RITA R HART,DEM,3810.807683
2018,10,GOVERNOR,,GARY SIEGWARTH NATALIA BLASKOVICH,CWP,60.430562
2018,10,GOVERNOR,,JAKE PORTER LYNNE GENTRY,LIB,131.888272
2018,10,GOVERNOR,,KIM REYNOLDS ADAM GREGG,REP,7070.144445
2018,10,GOVERNOR,,WRITE IN,,3.008871
2018,10,SECRETARY OF AGRICULTURE,,MIKE NAIG,REP,7869.993272
2018,10,SECRETARY OF AGRICULTURE,,RICK STEWART,LIB,154.331680
2018,10,SECRETARY OF AGRICULTURE,,TIM GANNON,DEM,2916.108320
2018,10,SECRETARY OF AGRICULTURE,,WRITE IN,,3.024766
2018,10,SECRETARY OF STATE,,DEIDRE DEJEAR,DEM,3487.377140
2018,10,SECRETARY OF STATE,,JULES OFENBAKH,LIB,174.379269
2018,10,SECRETARY OF STATE,,PAUL D PATE,REP,7110.553566
2018,10,SECRETARY OF STATE,,WRITE IN,,2.015895
2018,10,TREASURER OF STATE,,JEREMY N DAVIS,REP,5772.993116
2018,10,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEM,4767.190471
2018,10,TREASURER OF STATE,,TIMOTHY HIRD,LIB,177.637206
