year,plan2_district,office,district,candidate,party,votes
2016,13,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,59.782492
2016,13,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,107.782492
2016,13,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,17323.795430
2016,13,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,119.782492
2016,13,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,677.607414
2016,13,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.000000
2016,13,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,8894.554260
2016,13,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,196.000000
2016,13,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,44.000000
2016,13,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,7.000000
2016,13,PRESIDENT,,WRITE IN,OTH,203.564984
2016,13,U S SENATE,,CHARLES ALDRICH,LIB,592.172398
2016,13,U S SENATE,,CHARLES E GRASSLEY,REP,17240.490383
2016,13,U S SENATE,,JIM HENNAGER,OTH,405.347476
2016,13,U S SENATE,,MICHAEL LUICK THRAMS,OTH,61.000000
2016,13,U S SENATE,,PATTY JUDGE,DEM,8804.164354
2016,13,U S SENATE,,WRITE IN,OTH,24.347477
2016,14,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,12.480366
2016,14,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,75.793996
2016,14,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,11556.464137
2016,14,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,359.765748
2016,14,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1131.679332
2016,14,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.010603
2016,14,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,9726.404390
2016,14,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,112.072762
2016,14,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,13.673971
2016,14,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,10.336022
2016,14,PRESIDENT,,WRITE IN,OTH,351.269705
2016,14,U S SENATE,,CHARLES ALDRICH,LIB,628.547160
2016,14,U S SENATE,,CHARLES E GRASSLEY,REP,14953.640719
2016,14,U S SENATE,,JIM HENNAGER,OTH,171.697074
2016,14,U S SENATE,,MICHAEL LUICK THRAMS,OTH,59.725066
2016,14,U S SENATE,,PATTY JUDGE,DEM,7217.733051
2016,14,U S SENATE,,WRITE IN,OTH,21.032940
2016,15,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,32.049732
2016,15,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,69.815590
2016,15,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8848.756674
2016,15,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,130.621744
2016,15,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1012.532841
2016,15,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,3.826339
2016,15,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,13984.563304
2016,15,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,201.749955
2016,15,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,25.887029
2016,15,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,15.999498
2016,15,PRESIDENT,,WRITE IN,OTH,258.931279
2016,15,U S SENATE,,CHARLES ALDRICH,LIB,807.519426
2016,15,U S SENATE,,CHARLES E GRASSLEY,REP,10872.655759
2016,15,U S SENATE,,JIM HENNAGER,OTH,300.376350
2016,15,U S SENATE,,MICHAEL LUICK THRAMS,OTH,97.189757
2016,15,U S SENATE,,PATTY JUDGE,DEM,12080.471861
2016,15,U S SENATE,,WRITE IN,OTH,51.457006
2016,16,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,25.593061
2016,16,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,76.679590
2016,16,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,14581.925297
2016,16,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,409.729797
2016,16,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1531.558695
2016,16,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,6.003801
2016,16,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,18267.825507
2016,16,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,247.134515
2016,16,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,34.254796
2016,16,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,8.640759
2016,16,PRESIDENT,,WRITE IN,OTH,488.118321
2016,16,U S SENATE,,CHARLES ALDRICH,LIB,890.820024
2016,16,U S SENATE,,CHARLES E GRASSLEY,REP,19185.245097
2016,16,U S SENATE,,JIM HENNAGER,OTH,275.458453
2016,16,U S SENATE,,MICHAEL LUICK THRAMS,OTH,103.447180
2016,16,U S SENATE,,PATTY JUDGE,DEM,14779.391187
2016,16,U S SENATE,,WRITE IN,OTH,44.935970
2016,17,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,30.810832
2016,17,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,64.046903
2016,17,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,5849.087531
2016,17,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,187.369855
2016,17,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,872.777404
2016,17,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,12.760535
2016,17,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,16022.056886
2016,17,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,288.099227
2016,17,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,32.213909
2016,17,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,9.926449
2016,17,PRESIDENT,,WRITE IN,OTH,277.206807
2016,17,U S SENATE,,CHARLES ALDRICH,LIB,743.520355
2016,17,U S SENATE,,CHARLES E GRASSLEY,REP,7783.957832
2016,17,U S SENATE,,JIM HENNAGER,OTH,307.622755
2016,17,U S SENATE,,MICHAEL LUICK THRAMS,OTH,140.355680
2016,17,U S SENATE,,PATTY JUDGE,DEM,14109.448812
2016,17,U S SENATE,,WRITE IN,OTH,57.055087
2016,18,PRESIDENT,,DAN R VACEK AND MARK G ELWORTH,OTH,37.545269
2016,18,PRESIDENT,,DARRELL L CASTLE AND SCOTT N BRADLEY,CON,72.080382
2016,18,PRESIDENT,,DONALD J TRUMP AND MICHAEL R PENCE,REP,8764.786849
2016,18,PRESIDENT,,EVAN MCMULLIN AND NATHAN JOHNSON,OTH,329.811827
2016,18,PRESIDENT,,GARY JOHNSON AND BILL WELD,LIB,1409.034917
2016,18,PRESIDENT,,GLORIA LA RIVA AND DENNIS J BANKS,OTH,13.464213
2016,18,PRESIDENT,,HILLARY CLINTON AND TIM KAINE,DEM,21984.766494
2016,18,PRESIDENT,,JILL STEIN AND AJAMU BARAKA,GRN,358.273253
2016,18,PRESIDENT,,LYNN KAHN AND JAY STOLBA,OTH,28.879683
2016,18,PRESIDENT,,ROCKY ROQUE DE LA FUENTE AND MICHAEL STEINBERG,OTH,9.006675
2016,18,PRESIDENT,,WRITE IN,OTH,427.240839
2016,18,U S SENATE,,CHARLES ALDRICH,LIB,989.891409
2016,18,U S SENATE,,CHARLES E GRASSLEY,REP,12528.359282
2016,18,U S SENATE,,JIM HENNAGER,OTH,277.361577
