year,vtd_id,office,district,candidate,party,votes
2014,19001001001,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,143.409626
2014,19001001001,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,162.695748
2014,19001001001,ATTORNEY GENERAL,,WRITE IN,,0.494516
2014,19001001001,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,84.562228
2014,19001001001,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,207.202184
2014,19001001001,AUDITOR OF STATE,,WRITE IN,,0.000000
2014,19001001001,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,70.715781
2014,19001001001,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,1.978064
2014,19001001001,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,1.483548
2014,19001001001,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,9.395803
2014,19001001001,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,228.960886
2014,19001001001,GOVERNOR,,WRITE IN,,0.000000
2014,19001001001,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,243.301849
2014,19001001001,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,9.890319
2014,19001001001,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,52.418691
2014,19001001001,SECRETARY OF AGRICULTURE,,WRITE IN,,0.000000
2014,19001001001,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,114.727701
2014,19001001001,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,7.417739
2014,19001001001,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,173.575099
2014,19001001001,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,5.439675
2014,19001001001,SECRETARY OF STATE,,WRITE IN,,0.000000
2014,19001001001,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,8.901287
2014,19001001001,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,147.365754
2014,19001001001,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,144.893174
2014,19001001001,TREASURER OF STATE,,WRITE IN,,0.000000
2014,19001001001,U S SENATE,,BOB QUAST,BOB QUAST FOR TERM LIMITS,3.461612
2014,19001001001,U S SENATE,,BRUCE BRALEY,DEMOCRATIC PARTY,81.100616
2014,19001001001,U S SENATE,,DOUGLAS BUTZIER,LIBERTARIAN PARTY,0.989032
2014,19001001001,U S SENATE,,JONI ERNST,REPUBLICAN PARTY,209.674764
2014,19001001001,U S SENATE,,RICK STEWART,INDEPENDENT,10.384835
2014,19001001001,U S SENATE,,RUTH SMITH,,1.978064
2014,19001001001,U S SENATE,,WRITE IN,,0.494516
2014,19001001002,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,35.746765
2014,19001001002,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,40.554089
2014,19001001002,ATTORNEY GENERAL,,WRITE IN,,0.123265
2014,19001001002,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,21.078265
2014,19001001002,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,51.647912
2014,19001001002,AUDITOR OF STATE,,WRITE IN,,0.000000
2014,19001001002,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,17.626853
2014,19001001002,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,0.493059
