year,county,office,district,candidate,party,votes
2014,ADAIR,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,1312.000000
2014,ADAIR,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,1777.000000
2014,ADAIR,ATTORNEY GENERAL,,WRITE IN,,6.000000
2014,ADAIR,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,997.000000
2014,ADAIR,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,1939.000000
2014,ADAIR,AUDITOR OF STATE,,WRITE IN,,4.000000
2014,ADAIR,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,872.000000
2014,ADAIR,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,38.000000
2014,ADAIR,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,21.000000
2014,ADAIR,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,76.000000
2014,ADAIR,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,2153.000000
2014,ADAIR,GOVERNOR,,WRITE IN,,2.000000
2014,ADAIR,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,2315.000000
2014,ADAIR,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,103.000000
2014,ADAIR,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,646.000000
2014,ADAIR,SECRETARY OF AGRICULTURE,,WRITE IN,,5.000000
2014,ADAIR,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,1251.000000
2014,ADAIR,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,92.000000
2014,ADAIR,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,1610.000000
2014,ADAIR,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,57.000000
2014,ADAIR,SECRETARY OF STATE,,WRITE IN,,5.000000
2014,ADAIR,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,96.000000
2014,ADAIR,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,1539.000000
2014,ADAIR,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,1406.000000
2014,ADAIR,TREASURER OF STATE,,WRITE IN,,3.000000
2014,ADAIR,U S SENATE,,BOB QUAST,BOB QUAST FOR TERM LIMITS,30.000000
2014,ADAIR,U S SENATE,,BRUCE BRALEY,DEMOCRATIC PARTY,989.000000
2014,ADAIR,U S SENATE,,DOUGLAS BUTZIER,LIBERTARIAN PARTY,20.000000
2014,ADAIR,U S SENATE,,JONI ERNST,REPUBLICAN PARTY,1967.000000
2014,ADAIR,U S SENATE,,RICK STEWART,INDEPENDENT,104.000000
2014,ADAIR,U S SENATE,,RUTH SMITH,,25.000000
2014,ADAIR,U S SENATE,,WRITE IN,,7.000000
2014,ADAMS,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,693.000000
2014,ADAMS,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,975.000000
2014,ADAMS,ATTORNEY GENERAL,,WRITE IN,,1.000000
2014,ADAMS,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,495.000000
2014,ADAMS,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,1077.000000
2014,ADAMS,AUDITOR OF STATE,,WRITE IN,,2.000000
2014,ADAMS,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,419.000000
