office,district,candidate,party,county,votes
U.S. Senate,,TOM HARKIN,Democrat,Page,3565
U.S. Senate,,CHRISTOPHER REED,Republican,Page,3618
U.S. Senate,,OVER VOTES,,Page,0
U.S. Senate,,UNDER VOTES,,Page,0
U.S. Senate,,SCATTERING,,Page,3
U.S. Senate,,TOTAL,,Page,7186
U.S. Senate,,TOM HARKIN,Democrat,Palo Alto,3012
U.S. Senate,,CHRISTOPHER REED,Republican,Palo Alto,1665
U.S. Senate,,OVER VOTES,,Palo Alto,2
U.S. Senate,,UNDER VOTES,,Palo Alto,176
U.S. Senate,,SCATTERING,,Palo Alto,3
U.S. Senate,,TOTAL,,Palo Alto,4858
U.S. Senate,,TOM HARKIN,Democrat,Plymouth,6240
U.S. Senate,,CHRISTOPHER REED,Republican,Plymouth,5886
U.S. Senate,,OVER VOTES,,Plymouth,0
U.S. Senate,,UNDER VOTES,,Plymouth,0
U.S. Senate,,SCATTERING,,Plymouth,0
U.S. Senate,,TOTAL,,Plymouth,12126
U.S. Senate,,TOM HARKIN,Democrat,Pocahontas,2291
U.S. Senate,,CHRISTOPHER REED,Republican,Pocahontas,1666
U.S. Senate,,OVER VOTES,,Pocahontas,3
U.S. Senate,,UNDER VOTES,,Pocahontas,68
U.S. Senate,,SCATTERING,,Pocahontas,3
U.S. Senate,,TOTAL,,Pocahontas,4031
U.S. Senate,,TOM HARKIN,Democrat,Polk,130928
U.S. Senate,,CHRISTOPHER REED,Republican,Polk,80051
U.S. Senate,,OVER VOTES,,Polk,89
U.S. Senate,,UNDER VOTES,,Polk,4427
U.S. Senate,,SCATTERING,,Polk,256
U.S. Senate,,TOTAL,,Polk,215751
U.S. Senate,,TOM HARKIN,Democrat,Pottawattamie,23980
U.S. Senate,,CHRISTOPHER REED,Republican,Pottawattamie,17017
U.S. Senate,,OVER VOTES,,Pottawattamie,18
U.S. Senate,,UNDER VOTES,,Pottawattamie,1530
U.S. Senate,,SCATTERING,,Pottawattamie,34
U.S. Senate,,TOTAL,,Pottawattamie,42579
U.S. Senate,,TOM HARKIN,Democrat,Poweshiek,6196
U.S. Senate,,CHRISTOPHER REED,Republican,Poweshiek,3647
U.S. Senate,,OVER VOTES,,Poweshiek,0
U.S. Senate,,UNDER VOTES,,Poweshiek,0
U.S. Senate,,SCATTERING,,Poweshiek,8
U.S. Senate,,TOTAL,,Poweshiek,9851
U.S. Senate,,TOM HARKIN,Democrat,Ringgold,1648
U.S. Senate,,CHRISTOPHER REED,Republican,Ringgold,1023
U.S. Senate,,OVER VOTES,,Ringgold,0
U.S. Senate,,UNDER VOTES,,Ringgold,0
U.S. Senate,,SCATTERING,,Ringgold,1
U.S. Senate,,TOTAL,,Ringgold,2672
U.S. Senate,,TOM HARKIN,Democrat,Sac,2850
U.S. Senate,,CHRISTOPHER REED,Republican,Sac,2088
U.S. Senate,,OVER VOTES,,Sac,0
U.S. Senate,,UNDER VOTES,,Sac,0
U.S. Senate,,SCATTERING,,Sac,4
U.S. Senate,,TOTAL,,Sac,4942
U.S. Senate,,TOM HARKIN,Democrat,Scott,55129
U.S. Senate,,CHRISTOPHER REED,Republican,Scott,28642
U.S. Senate,,OVER VOTES,,Scott,0
U.S. Senate,,UNDER VOTES,,Scott,0
U.S. Senate,,SCATTERING,,Scott,76
U.S. Senate,,TOTAL,,Scott,83847
U.S. Senate,,TOM HARKIN,Democrat,Shelby,3449
U.S. Senate,,CHRISTOPHER REED,Republican,Shelby,2787
U.S. Senate,,OVER VOTES,,Shelby,1
U.S. Senate,,UNDER VOTES,,Shelby,0
U.S. Senate,,SCATTERING,,Shelby,5
U.S. Senate,,TOTAL,,Shelby,6242
U.S. Senate,,TOM HARKIN,Democrat,Sioux,4291
U.S. Senate,,CHRISTOPHER REED,Republican,Sioux,11945
U.S. Senate,,OVER VOTES,,Sioux,0
U.S. Senate,,UNDER VOTES,,Sioux,149
U.S. Senate,,SCATTERING,,Sioux,4
U.S. Senate,,TOTAL,,Sioux,16389
U.S. Senate,,TOM HARKIN,Democrat,Story,28351
U.S. Senate,,CHRISTOPHER REED,Republican,Story,16802
U.S. Senate,,OVER VOTES,,Story,9
U.S. Senate,,UNDER VOTES,,Story,1513
U.S. Senate,,SCATTERING,,Story,46
U.S. Senate,,TOTAL,,Story,46721
U.S. Senate,,TOM HARKIN,Democrat,Tama,5547
U.S. Senate,,CHRISTOPHER REED,Republican,Tama,3163
U.S. Senate,,OVER VOTES,,Tama,3
U.S. Senate,,UNDER VOTES,,Tama,189
U.S. Senate,,SCATTERING,,Tama,3
U.S. Senate,,TOTAL,,Tama,8905
U.S. Senate,,TOM HARKIN,Democrat,Taylor,1745
U.S. Senate,,CHRISTOPHER REED,Republican,Taylor,1209
U.S. Senate,,OVER VOTES,,Taylor,1
U.S. Senate,,UNDER VOTES,,Taylor,0
U.S. Senate,,SCATTERING,,Taylor,2
U.S. Senate,,TOTAL,,Taylor,2957
U.S. Senate,,TOM HARKIN,Democrat,Union,3458
U.S. Senate,,CHRISTOPHER REED,Republican,Union,2336
U.S. Senate,,OVER VOTES,,Union,0
U.S. Senate,,UNDER VOTES,,Union,167
U.S. Senate,,SCATTERING,,Union,3
U.S. Senate,,TOTAL,,Union,5964
