year,plan2_district,office,district,candidate,party,votes
2012,5,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,8.498802951297
2012,5,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,34.601401133871
2012,5,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,10828.865286660310
2012,5,PRESIDENT VICE PRESIDENT,,OVER VOTES,,13.198964662798
2012,5,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,61.283840078554
2012,5,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,41.078073359487
2012,5,PRESIDENT VICE PRESIDENT,,WRITE IN,,68.842803504548
2012,6,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,6085.608697622877
2012,6,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,99.267859826778
2012,6,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,1.709167747203
2012,6,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,6.006958274546
2012,6,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,7.716126021749
2012,6,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,31.024842797329
2012,6,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,8170.479592945703
2012,6,PRESIDENT VICE PRESIDENT,,OVER VOTES,,38.688459846601
2012,6,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,59.500314007938
2012,6,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,24.847597348715
2012,6,PRESIDENT VICE PRESIDENT,,WRITE IN,,83.602801619681
2012,7,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,6754.027126321802
2012,7,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,120.986621768894
2012,7,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,4.000000000000
2012,7,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,4.000000730255
2012,7,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,13.108138618420
2012,7,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,45.077759027968
2012,7,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,9451.099901455833
2012,7,PRESIDENT VICE PRESIDENT,,OVER VOTES,,28.155817772354
2012,7,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,90.103320497174
2012,7,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,43.216277576081
2012,7,PRESIDENT VICE PRESIDENT,,WRITE IN,,89.467453317061
2012,8,PRESIDENT VICE PRESIDENT,,BARACK OBAMA JOE BIDEN,DEMOCRATIC,8665.972873678198
2012,8,PRESIDENT VICE PRESIDENT,,GARY JOHNSON JAMES P GRAY,LIBERTARIAN,83.013378231106
2012,8,PRESIDENT VICE PRESIDENT,,GLORIA LARIVA STEFANIE BEACHAM,PARTY FOR SOCIALISM AND LIBERATION,4.000000000000
2012,8,PRESIDENT VICE PRESIDENT,,JAMES HARRIS ALYSON KENNEDY,SOCIALIST WORKERS PARTY,3.999999269745
2012,8,PRESIDENT VICE PRESIDENT,,JERRY LITZEL JIM LITZEL,NOMINATED BY PETITION,16.891861381580
2012,8,PRESIDENT VICE PRESIDENT,,JILL STEIN CHERI HONKALA,IOWA GREEN PARTY,37.922240972032
2012,8,PRESIDENT VICE PRESIDENT,,MITT ROMNEY PAUL RYAN,REPUBLICAN,7398.900098544166
2012,8,PRESIDENT VICE PRESIDENT,,OVER VOTES,,22.844182227646
2012,8,PRESIDENT VICE PRESIDENT,,UNDER VOTES,,65.896679502826
2012,8,PRESIDENT VICE PRESIDENT,,VIRGIL GOODE JAMES CLYMER,CONSTITUTION,40.783722423919
2012,8,PRESIDENT VICE PRESIDENT,,WRITE IN,,68.532546682939
