year,plan2_district,office,district,candidate,party,votes
2000,35,PRESIDENT,,,REP,5783.999679
2000,35,PRESIDENT,,,SC,133.000010
2000,36,PRESIDENT,,,DEM,8737.422220
2000,36,PRESIDENT,,,GREEN,419.652797
2000,36,PRESIDENT,,,REP,4806.408625
2000,36,PRESIDENT,,,SC,156.911711
2000,37,PRESIDENT,,,DEM,7010.134151
2000,37,PRESIDENT,,,GREEN,354.339876
2000,37,PRESIDENT,,,REP,6387.299007
2000,37,PRESIDENT,,,SC,14.968345
2000,38,PRESIDENT,,,DEM,8029.501383
2000,38,PRESIDENT,,,GREEN,447.566575
2000,38,PRESIDENT,,,REP,7359.766842
2000,38,PRESIDENT,,,SC,102.122618
2000,39,PRESIDENT,,,DEM,8139.524603
2000,39,PRESIDENT,,,GREEN,397.720021
2000,39,PRESIDENT,,,REP,4561.148892
2000,39,PRESIDENT,,,SC,17.696860
2000,4,PRESIDENT,,,DEM,7119.999219
2000,4,PRESIDENT,,,GREEN,236.999984
2000,4,PRESIDENT,,,REP,7261.998466
2000,4,PRESIDENT,,,SC,103.999971
2000,40,PRESIDENT,,,DEM,10114.351928
2000,40,PRESIDENT,,,GREEN,391.522294
2000,40,PRESIDENT,,,REP,7872.053880
2000,40,PRESIDENT,,,SC,26.920181
2000,41,PRESIDENT,,,DEM,7017.173295
2000,41,PRESIDENT,,,GREEN,232.982433
2000,41,PRESIDENT,,,REP,5455.230169
2000,41,PRESIDENT,,,SC,104.784337
2000,42,PRESIDENT,,,DEM,5405.354745
2000,42,PRESIDENT,,,GREEN,248.441376
2000,42,PRESIDENT,,,REP,4912.813160
2000,42,PRESIDENT,,,SC,36.421860
2000,43,PRESIDENT,,,DEM,3928.810314
2000,43,PRESIDENT,,,GREEN,339.195840
2000,43,PRESIDENT,,,REP,2661.406344
2000,43,PRESIDENT,,,SC,55.046262
2000,44,PRESIDENT,,,DEM,4027.077533
2000,44,PRESIDENT,,,GREEN,231.993450
