year,county,office,district,candidate,party,votes
2004,ADAIR,PRESIDENT,,,DEM,1844.000000
2004,ADAIR,PRESIDENT,,,OTH,24.000000
2004,ADAIR,PRESIDENT,,,REP,2402.000000
2004,ADAIR,PRESIDENT,,,SC,8.000000
2004,ADAIR,US SENATE,,,DEM,816.000000
2004,ADAIR,US SENATE,,,OTH,62.000000
2004,ADAIR,US SENATE,,,REP,3359.000000
2004,ADAIR,US SENATE,,,SC,2.000000
2004,ADAMS,PRESIDENT,,,DEM,977.000000
2004,ADAMS,PRESIDENT,,,OTH,26.000000
2004,ADAMS,PRESIDENT,,,REP,1317.000000
2004,ADAMS,PRESIDENT,,,SC,4.000000
2004,ADAMS,US SENATE,,,DEM,407.000000
2004,ADAMS,US SENATE,,,OTH,46.000000
2004,ADAMS,US SENATE,,,REP,1841.000000
2004,ADAMS,US SENATE,,,SC,0.000000
2004,ALLAMAKEE,PRESIDENT,,,DEM,3449.000000
2004,ALLAMAKEE,PRESIDENT,,,OTH,79.000000
2004,ALLAMAKEE,PRESIDENT,,,REP,3530.000000
2004,ALLAMAKEE,PRESIDENT,,,SC,4.000000
2004,ALLAMAKEE,US SENATE,,,DEM,1835.000000
2004,ALLAMAKEE,US SENATE,,,OTH,160.000000
2004,ALLAMAKEE,US SENATE,,,REP,4971.000000
2004,ALLAMAKEE,US SENATE,,,SC,2.000000
2004,APPANOOSE,PRESIDENT,,,DEM,3063.000000
2004,APPANOOSE,PRESIDENT,,,OTH,44.000000
2004,APPANOOSE,PRESIDENT,,,REP,3340.000000
2004,APPANOOSE,PRESIDENT,,,SC,3.000000
2004,APPANOOSE,US SENATE,,,DEM,1810.000000
2004,APPANOOSE,US SENATE,,,OTH,74.000000
2004,APPANOOSE,US SENATE,,,REP,4300.000000
2004,APPANOOSE,US SENATE,,,SC,0.000000
2004,AUDUBON,PRESIDENT,,,DEM,1608.000000
2004,AUDUBON,PRESIDENT,,,OTH,26.000000
2004,AUDUBON,PRESIDENT,,,REP,1958.000000
2004,AUDUBON,PRESIDENT,,,SC,0.000000
2004,AUDUBON,US SENATE,,,DEM,701.000000
2004,AUDUBON,US SENATE,,,OTH,46.000000
2004,AUDUBON,US SENATE,,,REP,2765.000000
2004,AUDUBON,US SENATE,,,SC,0.000000
2004,BENTON,PRESIDENT,,,DEM,6690.000000
2004,BENTON,PRESIDENT,,,OTH,84.000000
2004,BENTON,PRESIDENT,,,REP,6634.000000
2004,BENTON,PRESIDENT,,,SC,12.000000
2004,BENTON,US SENATE,,,DEM,3262.000000
2004,BENTON,US SENATE,,,OTH,228.000000
2004,BENTON,US SENATE,,,REP,9727.000000
2004,BENTON,US SENATE,,,SC,0.000000
2004,BLACK HAWK,PRESIDENT,,,DEM,35392.000000
2004,BLACK HAWK,PRESIDENT,,,OTH,418.000000
2004,BLACK HAWK,PRESIDENT,,,REP,28046.000000
2004,BLACK HAWK,PRESIDENT,,,SC,51.000000
2004,BLACK HAWK,US SENATE,,,DEM,19151.000000
2004,BLACK HAWK,US SENATE,,,OTH,1120.000000
2004,BLACK HAWK,US SENATE,,,REP,42746.000000
2004,BLACK HAWK,US SENATE,,,SC,20.000000
2004,BOONE,PRESIDENT,,,DEM,7027.000000
2004,BOONE,PRESIDENT,,,OTH,98.000000
2004,BOONE,PRESIDENT,,,REP,6870.000000
2004,BOONE,PRESIDENT,,,SC,14.000000
2004,BOONE,US SENATE,,,DEM,3797.000000
2004,BOONE,US SENATE,,,OTH,43.000000
2004,BOONE,US SENATE,,,REP,9811.000000
2004,BOONE,US SENATE,,,SC,5.000000
2004,BREMER,PRESIDENT,,,DEM,6025.000000
2004,BREMER,PRESIDENT,,,OTH,80.000000
2004,BREMER,PRESIDENT,,,REP,6665.000000
2004,BREMER,PRESIDENT,,,SC,9.000000
2004,BREMER,US SENATE,,,DEM,2779.000000
2004,BREMER,US SENATE,,,OTH,15.000000
2004,BREMER,US SENATE,,,REP,9761.000000
2004,BREMER,US SENATE,,,SC,1.000000
2004,BUCHANAN,PRESIDENT,,,DEM,5608.000000
2004,BUCHANAN,PRESIDENT,,,OTH,65.000000
2004,BUCHANAN,PRESIDENT,,,REP,4797.000000
2004,BUCHANAN,PRESIDENT,,,SC,5.000000
2004,BUCHANAN,US SENATE,,,DEM,2839.000000
2004,BUCHANAN,US SENATE,,,OTH,43.000000
2004,BUCHANAN,US SENATE,,,REP,7463.000000
2004,BUCHANAN,US SENATE,,,SC,3.000000
2004,BUENA VISTA,PRESIDENT,,,DEM,3520.000000
2004,BUENA VISTA,PRESIDENT,,,OTH,74.000000
2004,BUENA VISTA,PRESIDENT,,,REP,4887.000000
2004,BUENA VISTA,PRESIDENT,,,SC,9.000000
2004,BUENA VISTA,US SENATE,,,DEM,1682.000000
2004,BUENA VISTA,US SENATE,,,OTH,98.000000
2004,BUENA VISTA,US SENATE,,,REP,6529.000000
2004,BUENA VISTA,US SENATE,,,SC,1.000000
2004,BUTLER,PRESIDENT,,,DEM,3001.000000
2004,BUTLER,PRESIDENT,,,OTH,51.000000
2004,BUTLER,PRESIDENT,,,REP,4453.000000
2004,BUTLER,PRESIDENT,,,SC,6.000000
2004,BUTLER,US SENATE,,,DEM,1302.000000
2004,BUTLER,US SENATE,,,OTH,82.000000
2004,BUTLER,US SENATE,,,REP,6042.000000
2004,BUTLER,US SENATE,,,SC,1.000000
2004,CALHOUN,PRESIDENT,,,DEM,2243.000000
2004,CALHOUN,PRESIDENT,,,OTH,40.000000
2004,CALHOUN,PRESIDENT,,,REP,3255.000000
2004,CALHOUN,PRESIDENT,,,SC,4.000000
2004,CALHOUN,US SENATE,,,DEM,1031.000000
2004,CALHOUN,US SENATE,,,OTH,71.000000
2004,CALHOUN,US SENATE,,,REP,4382.000000
2004,CALHOUN,US SENATE,,,SC,0.000000
2004,CARROLL,PRESIDENT,,,DEM,4689.000000
2004,CARROLL,PRESIDENT,,,OTH,69.000000
2004,CARROLL,PRESIDENT,,,REP,5762.000000
2004,CARROLL,PRESIDENT,,,SC,4.000000
2004,CARROLL,US SENATE,,,DEM,2375.000000
2004,CARROLL,US SENATE,,,OTH,137.000000
2004,CARROLL,US SENATE,,,REP,7761.000000
2004,CARROLL,US SENATE,,,SC,5.000000
2004,CASS,PRESIDENT,,,DEM,2679.000000
2004,CASS,PRESIDENT,,,OTH,61.000000
2004,CASS,PRESIDENT,,,REP,4796.000000
2004,CASS,PRESIDENT,,,SC,7.000000
2004,CASS,US SENATE,,,DEM,1239.000000
2004,CASS,US SENATE,,,OTH,137.000000
2004,CASS,US SENATE,,,REP,6029.000000
2004,CASS,US SENATE,,,SC,0.000000
2004,CEDAR,PRESIDENT,,,DEM,4747.000000
2004,CEDAR,PRESIDENT,,,OTH,73.000000
2004,CEDAR,PRESIDENT,,,REP,4869.000000
2004,CEDAR,PRESIDENT,,,SC,5.000000
2004,CEDAR,US SENATE,,,DEM,2433.000000
2004,CEDAR,US SENATE,,,OTH,192.000000
2004,CEDAR,US SENATE,,,REP,6951.000000
2004,CEDAR,US SENATE,,,SC,1.000000
2004,CERRO GORDO,PRESIDENT,,,DEM,13372.000000
2004,CERRO GORDO,PRESIDENT,,,OTH,162.000000
2004,CERRO GORDO,PRESIDENT,,,REP,10960.000000
2004,CERRO GORDO,PRESIDENT,,,SC,22.000000
2004,CERRO GORDO,US SENATE,,,DEM,6980.000000
2004,CERRO GORDO,US SENATE,,,OTH,412.000000
2004,CERRO GORDO,US SENATE,,,REP,16872.000000
2004,CERRO GORDO,US SENATE,,,SC,5.000000
2004,CHEROKEE,PRESIDENT,,,DEM,2988.000000
2004,CHEROKEE,PRESIDENT,,,OTH,45.000000
2004,CHEROKEE,PRESIDENT,,,REP,3758.000000
2004,CHEROKEE,PRESIDENT,,,SC,5.000000
2004,CHEROKEE,US SENATE,,,DEM,864.000000
2004,CHEROKEE,US SENATE,,,OTH,119.000000
2004,CHEROKEE,US SENATE,,,REP,5419.000000
2004,CHEROKEE,US SENATE,,,SC,3.000000
2004,CHICKASAW,PRESIDENT,,,DEM,3708.000000
2004,CHICKASAW,PRESIDENT,,,OTH,58.000000
2004,CHICKASAW,PRESIDENT,,,REP,3040.000000
2004,CHICKASAW,PRESIDENT,,,SC,0.000000
2004,CHICKASAW,US SENATE,,,DEM,1577.000000
2004,CHICKASAW,US SENATE,,,OTH,104.000000
2004,CHICKASAW,US SENATE,,,REP,5053.000000
2004,CHICKASAW,US SENATE,,,SC,1.000000
2004,CLARKE,PRESIDENT,,,DEM,2323.000000
2004,CLARKE,PRESIDENT,,,OTH,37.000000
2004,CLARKE,PRESIDENT,,,REP,2200.000000
2004,CLARKE,PRESIDENT,,,SC,7.000000
2004,CLARKE,US SENATE,,,DEM,1096.000000
2004,CLARKE,US SENATE,,,OTH,91.000000
2004,CLARKE,US SENATE,,,REP,3323.000000
2004,CLARKE,US SENATE,,,SC,1.000000
2004,CLAY,PRESIDENT,,,DEM,3547.000000
2004,CLAY,PRESIDENT,,,OTH,18.000000
2004,CLAY,PRESIDENT,,,REP,4898.000000
2004,CLAY,PRESIDENT,,,SC,13.000000
2004,CLAY,US SENATE,,,DEM,1911.000000
2004,CLAY,US SENATE,,,OTH,11.000000
2004,CLAY,US SENATE,,,REP,6409.000000
2004,CLAY,US SENATE,,,SC,1.000000
2004,CLAYTON,PRESIDENT,,,DEM,4736.000000
2004,CLAYTON,PRESIDENT,,,OTH,106.000000
2004,CLAYTON,PRESIDENT,,,REP,4312.000000
2004,CLAYTON,PRESIDENT,,,SC,4.000000
2004,CLAYTON,US SENATE,,,DEM,2303.000000
2004,CLAYTON,US SENATE,,,OTH,120.000000
2004,CLAYTON,US SENATE,,,REP,6628.000000
2004,CLAYTON,US SENATE,,,SC,4.000000
2004,CLINTON,PRESIDENT,,,DEM,18925.000000
2004,CLINTON,PRESIDENT,,,OTH,119.000000
2004,CLINTON,PRESIDENT,,,REP,13389.000000
2004,CLINTON,PRESIDENT,,,SC,8.000000
2004,CLINTON,US SENATE,,,DEM,12268.000000
2004,CLINTON,US SENATE,,,OTH,193.000000
2004,CLINTON,US SENATE,,,REP,18468.000000
2004,CLINTON,US SENATE,,,SC,7.000000
2004,CRAWFORD,PRESIDENT,,,DEM,3220.000000
2004,CRAWFORD,PRESIDENT,,,OTH,3.000000
2004,CRAWFORD,PRESIDENT,,,REP,3955.000000
2004,CRAWFORD,PRESIDENT,,,SC,1.000000
2004,CRAWFORD,US SENATE,,,DEM,1003.000000
2004,CRAWFORD,US SENATE,,,OTH,18.000000
2004,CRAWFORD,US SENATE,,,REP,4626.000000
2004,CRAWFORD,US SENATE,,,SC,0.000000
2004,DALLAS,PRESIDENT,,,DEM,10916.000000
2004,DALLAS,PRESIDENT,,,OTH,86.000000
2004,DALLAS,PRESIDENT,,,REP,15181.000000
2004,DALLAS,PRESIDENT,,,SC,17.000000
2004,DALLAS,US SENATE,,,DEM,5714.000000
2004,DALLAS,US SENATE,,,OTH,201.000000
2004,DALLAS,US SENATE,,,REP,19819.000000
2004,DALLAS,US SENATE,,,SC,7.000000
2004,DAVIS,PRESIDENT,,,DEM,1731.000000
2004,DAVIS,PRESIDENT,,,OTH,36.000000
2004,DAVIS,PRESIDENT,,,REP,2148.000000
2004,DAVIS,PRESIDENT,,,SC,3.000000
2004,DAVIS,US SENATE,,,DEM,898.000000
2004,DAVIS,US SENATE,,,OTH,53.000000
2004,DAVIS,US SENATE,,,REP,2926.000000
2004,DAVIS,US SENATE,,,SC,0.000000
2004,DECATUR,PRESIDENT,,,DEM,1859.000000
2004,DECATUR,PRESIDENT,,,OTH,63.000000
2004,DECATUR,PRESIDENT,,,REP,2088.000000
2004,DECATUR,PRESIDENT,,,SC,1.000000
2004,DECATUR,US SENATE,,,DEM,897.000000
