year,plan2_district,office,district,candidate,party,votes
2014,1,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,14345.788354
2014,1,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,27027.656546
2014,1,ATTORNEY GENERAL,,WRITE IN,,57.000000
2014,1,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,22172.739250
2014,1,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,17840.735070
2014,1,AUDITOR OF STATE,,WRITE IN,,64.000000
2014,1,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,20716.749661
2014,1,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,418.991584
2014,1,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,418.993762
2014,1,GOVERNOR,,LEE DEAKINS HIEB TIM WATSON,LIBERTARIAN PARTY,790.989552
2014,1,GOVERNOR,,TERRY E BRANSTAD KIM REYNOLDS,REPUBLICAN PARTY,20312.703735
2014,1,GOVERNOR,,WRITE IN,,49.999963
2014,1,SECRETARY OF AGRICULTURE,,BILL NORTHEY,REPUBLICAN PARTY,20317.637151
2014,1,SECRETARY OF AGRICULTURE,,LEVI BENNING,NEW INDEPENDENT PARTY IOWA,1568.981251
2014,1,SECRETARY OF AGRICULTURE,,SHERRIE TAHA,DEMOCRATIC PARTY,18865.833035
2014,1,SECRETARY OF AGRICULTURE,,WRITE IN,,57.000000
2014,1,SECRETARY OF STATE,,BRAD ANDERSON,DEMOCRATIC PARTY,23406.723878
2014,1,SECRETARY OF STATE,,JAKE PORTER,LIBERTARIAN PARTY,1329.989439
2014,1,SECRETARY OF STATE,,PAUL D PATE,REPUBLICAN PARTY,15701.744436
2014,1,SECRETARY OF STATE,,SPENCER HIGHLAND,NEW INDEPENDENT PARTY IOWA,804.987337
2014,1,SECRETARY OF STATE,,WRITE IN,,35.999963
2014,1,TREASURER OF STATE,,KEITH A LAUBE,LIBERTARIAN PARTY,1452.974939
2014,1,TREASURER OF STATE,,MICHAEL L FITZGERALD,DEMOCRATIC PARTY,25230.677933
2014,1,TREASURER OF STATE,,SAM CLOVIS,REPUBLICAN PARTY,14379.800596
2014,1,TREASURER OF STATE,,WRITE IN,,42.000000
2014,1,U S SENATE,,BOB QUAST,BOB QUAST FOR TERM LIMITS,225.997859
2014,1,U S SENATE,,BRUCE BRALEY,DEMOCRATIC PARTY,23429.745454
2014,1,U S SENATE,,DOUGLAS BUTZIER,LIBERTARIAN PARTY,321.999998
2014,1,U S SENATE,,JONI ERNST,REPUBLICAN PARTY,17600.699903
2014,1,U S SENATE,,RICK STEWART,INDEPENDENT,897.991319
2014,1,U S SENATE,,RUTH SMITH,,186.995791
2014,1,U S SENATE,,WRITE IN,,51.000000
2014,2,ATTORNEY GENERAL,,ADAM GREGG,REPUBLICAN PARTY,22682.206613
2014,2,ATTORNEY GENERAL,,TOM MILLER,DEMOCRATIC PARTY,37496.336779
2014,2,ATTORNEY GENERAL,,WRITE IN,,42.000000
2014,2,AUDITOR OF STATE,,JONATHAN NEIDERBACH,DEMOCRATIC PARTY,28839.256200
2014,2,AUDITOR OF STATE,,MARY MOSIMAN,REPUBLICAN PARTY,29192.258266
2014,2,AUDITOR OF STATE,,WRITE IN,,62.000000
2014,2,GOVERNOR,,JACK HATCH MONICA VERNON,DEMOCRATIC PARTY,27207.245868
2014,2,GOVERNOR,,JIM HENNAGER MARY MARGARET KRIEG,NEW INDEPENDENT PARTY IOWA,479.008264
2014,2,GOVERNOR,,JONATHAN R NARCISSE MICHAEL L RICHARDS,IOWA PARTY,414.006198
