year,vtd_id,office,district,candidate,party,votes
2004,19005005010,US SENATE,,,DEM,21.000000
2004,19005005010,US SENATE,,,OTH,2.000000
2004,19005005010,US SENATE,,,REP,81.000000
2004,19005005010,US SENATE,,,SC,0.000000
2004,19005005013,PRESIDENT,,,DEM,66.000000
2004,19005005013,PRESIDENT,,,OTH,0.000000
2004,19005005013,PRESIDENT,,,REP,134.000000
2004,19005005013,PRESIDENT,,,SC,0.000000
2004,19005005013,US SENATE,,,DEM,29.000000
2004,19005005013,US SENATE,,,OTH,4.000000
2004,19005005013,US SENATE,,,REP,169.000000
2004,19005005013,US SENATE,,,SC,0.000000
2004,19005005017,PRESIDENT,,,DEM,30.000000
2004,19005005017,PRESIDENT,,,OTH,2.000000
2004,19005005017,PRESIDENT,,,REP,78.000000
2004,19005005017,PRESIDENT,,,SC,0.000000
2004,19005005017,US SENATE,,,DEM,14.000000
2004,19005005017,US SENATE,,,OTH,3.000000
2004,19005005017,US SENATE,,,REP,91.000000
2004,19005005017,US SENATE,,,SC,0.000000
2004,19005005019,PRESIDENT,,,DEM,58.000000
2004,19005005019,PRESIDENT,,,OTH,7.000000
2004,19005005019,PRESIDENT,,,REP,46.000000
2004,19005005019,PRESIDENT,,,SC,1.000000
2004,19005005019,US SENATE,,,DEM,27.000000
2004,19005005019,US SENATE,,,OTH,5.000000
2004,19005005019,US SENATE,,,REP,78.000000
2004,19005005019,US SENATE,,,SC,0.000000
2004,19005005020,PRESIDENT,,,DEM,259.000000
2004,19005005020,PRESIDENT,,,OTH,3.000000
2004,19005005020,PRESIDENT,,,REP,268.000000
2004,19005005020,PRESIDENT,,,SC,1.000000
2004,19005005020,US SENATE,,,DEM,135.000000
2004,19005005020,US SENATE,,,OTH,4.000000
2004,19005005020,US SENATE,,,REP,386.000000
2004,19005005020,US SENATE,,,SC,0.000000
2004,19005005022,PRESIDENT,,,DEM,203.000000
2004,19005005022,PRESIDENT,,,OTH,5.000000
2004,19005005022,PRESIDENT,,,REP,221.000000
2004,19005005022,PRESIDENT,,,SC,1.000000
2004,19005005022,US SENATE,,,DEM,91.000000
2004,19005005022,US SENATE,,,OTH,7.000000
2004,19005005022,US SENATE,,,REP,325.000000
2004,19005005022,US SENATE,,,SC,0.000000
2004,19007007002,PRESIDENT,,,DEM,80.000000
2004,19007007002,PRESIDENT,,,OTH,1.000000
2004,19007007002,PRESIDENT,,,REP,91.000000
2004,19007007002,PRESIDENT,,,SC,0.000000
2004,19007007002,US SENATE,,,DEM,48.000000
2004,19007007002,US SENATE,,,OTH,3.000000
2004,19007007002,US SENATE,,,REP,118.000000
2004,19007007002,US SENATE,,,SC,0.000000
2004,19007007003,PRESIDENT,,,DEM,220.000000
2004,19007007003,PRESIDENT,,,OTH,4.000000
2004,19007007003,PRESIDENT,,,REP,298.000000
2004,19007007003,PRESIDENT,,,SC,1.000000
2004,19007007003,US SENATE,,,DEM,120.000000
2004,19007007003,US SENATE,,,OTH,6.000000
2004,19007007003,US SENATE,,,REP,381.000000
2004,19007007003,US SENATE,,,SC,0.000000
2004,19007007004,PRESIDENT,,,DEM,225.000000
2004,19007007004,PRESIDENT,,,OTH,0.000000
2004,19007007004,PRESIDENT,,,REP,322.000000
2004,19007007004,PRESIDENT,,,SC,0.000000
2004,19007007004,US SENATE,,,DEM,110.000000
2004,19007007004,US SENATE,,,OTH,11.000000
2004,19007007004,US SENATE,,,REP,403.000000
2004,19007007004,US SENATE,,,SC,0.000000
2004,19007007005,PRESIDENT,,,DEM,229.000000
2004,19007007005,PRESIDENT,,,OTH,9.000000
2004,19007007005,PRESIDENT,,,REP,280.000000
2004,19007007005,PRESIDENT,,,SC,1.000000
2004,19007007005,US SENATE,,,DEM,130.000000
2004,19007007005,US SENATE,,,OTH,13.000000
2004,19007007005,US SENATE,,,REP,365.000000
2004,19007007005,US SENATE,,,SC,0.000000
2004,19007007019,PRESIDENT,,,DEM,71.000000
2004,19007007019,PRESIDENT,,,OTH,0.000000
2004,19007007019,PRESIDENT,,,REP,82.000000
2004,19007007019,PRESIDENT,,,SC,0.000000
2004,19007007019,US SENATE,,,DEM,35.000000
2004,19007007019,US SENATE,,,OTH,0.000000
2004,19007007019,US SENATE,,,REP,108.000000
2004,19007007019,US SENATE,,,SC,0.000000
2004,19007007020,PRESIDENT,,,DEM,22.000000
2004,19007007020,PRESIDENT,,,OTH,0.000000
2004,19007007020,PRESIDENT,,,REP,43.000000
2004,19007007020,PRESIDENT,,,SC,0.000000
2004,19007007020,US SENATE,,,DEM,10.000000
2004,19007007020,US SENATE,,,OTH,0.000000
2004,19007007020,US SENATE,,,REP,54.000000
2004,19007007020,US SENATE,,,SC,0.000000
2004,19011011001,PRESIDENT,,,DEM,204.000000
2004,19011011001,PRESIDENT,,,OTH,2.000000
2004,19011011001,PRESIDENT,,,REP,159.000000
2004,19011011001,PRESIDENT,,,SC,0.000000
2004,19011011001,US SENATE,,,DEM,88.000000
2004,19011011001,US SENATE,,,OTH,4.000000
2004,19011011001,US SENATE,,,REP,269.000000
2004,19011011001,US SENATE,,,SC,0.000000
2004,19011011002,PRESIDENT,,,DEM,144.000000
2004,19011011002,PRESIDENT,,,OTH,1.000000
2004,19011011002,PRESIDENT,,,REP,161.000000
2004,19011011002,PRESIDENT,,,SC,0.000000
2004,19011011002,US SENATE,,,DEM,72.000000
2004,19011011002,US SENATE,,,OTH,6.000000
2004,19011011002,US SENATE,,,REP,224.000000
2004,19011011002,US SENATE,,,SC,0.000000
